calcE, errfinal, es, np, refE
-4.234018, -0.255982, -0.283768, -3.950250, -4.490000 
-4.771121, -1.508879, -0.225121, -4.546000, -6.280000 
-4.149646, -0.820354, -0.478365, -3.671282, -4.970000 
-4.531947, 1.131947, -0.649003, -3.882944, -3.400000 
-3.654011, 1.024011, -0.052196, -3.601814, -2.630000 
-5.404302, -2.455698, -0.983058, -4.421244, -7.860000 
-5.857211, -2.302789, -1.390496, -4.466715, -8.160000 
-4.014740, 0.374740, -1.173174, -2.841565, -3.640000 
-5.517010, -1.582990, -0.661956, -4.855054, -7.100000 
-4.811478, -1.288522, -0.822044, -3.989433, -6.100000 
-4.921623, -0.568377, -0.397601, -4.524021, -5.490000 
-4.959836, -1.150164, -0.656611, -4.303225, -6.110000 
-5.716818, -3.413182, -1.221603, -4.495215, -9.130000 
-3.988771, -0.511229, -0.223503, -3.765268, -4.500000 
-4.859159, -1.420841, -0.469658, -4.389501, -6.280000 
-4.493852, -1.356148, -0.236368, -4.257484, -5.850000 
-3.699247, 1.219247, -0.045404, -3.653843, -2.480000 
-4.730468, 0.530468, -0.728334, -4.002134, -4.200000 
-5.143543, 0.333543, -1.107738, -4.035805, -4.810000 
-4.328230, 0.238230, -0.469589, -3.858642, -4.090000 
-4.392152, -0.817848, -0.235969, -4.156183, -5.210000 
-4.436609, -0.823391, -0.481387, -3.955222, -5.260000 
-4.758975, 0.638975, -0.454038, -4.304936, -4.120000 
-3.341527, 0.591527, -0.475479, -2.866048, -2.750000 
-3.496292, 0.536292, -0.687658, -2.808633, -2.960000 
-4.883647, 0.483647, -0.561218, -4.322429, -4.400000 
-3.470155, 0.700155, -0.593459, -2.876695, -2.770000 
-5.120059, -0.549941, -0.213860, -4.906200, -5.670000 
-4.169498, 0.529498, -0.235336, -3.934162, -3.640000 
-6.464196, -0.025804, -0.690809, -5.773388, -6.490000 
-6.136671, 0.016671, -0.474439, -5.662233, -6.120000 
-5.861074, 0.821074, -0.672736, -5.188338, -5.040000 
-5.540658, 0.070658, -0.473887, -5.066771, -5.470000 
-6.395016, -0.594984, -1.161135, -5.233881, -6.990000 
-4.663495, -1.836505, -0.252773, -4.410723, -6.500000 
-5.145062, -0.564938, -0.205119, -4.939942, -5.710000 
-2.753723, 0.503723, -0.681829, -2.071895, -2.250000 
-4.165052, 0.345052, -0.581379, -3.583673, -3.820000 
-5.861681, -1.328319, -0.679216, -5.182465, -7.190000 
-6.452445, 0.062445, -0.500525, -5.951920, -6.390000 
-5.888364, 0.178364, -0.528429, -5.359935, -5.710000 
-4.693905, 0.263905, -0.509294, -4.184612, -4.430000 
-2.788919, 0.258919, -0.642116, -2.146802, -2.530000 
-6.108769, 0.518769, -0.593343, -5.515426, -5.590000 
-4.679717, -0.670283, -0.616258, -4.063458, -5.350000 
-5.377123, -1.202877, -0.757278, -4.619845, -6.580000 
-6.233913, 0.843913, -0.004376, -6.229537, -5.390000 
-5.502288, 0.472288, -0.573209, -4.929079, -5.030000 
-4.069061, 0.479061, -0.591481, -3.477580, -3.590000 
-5.358965, -2.191035, -0.365481, -4.993484, -7.550000 
-4.788034, -2.131966, -0.404982, -4.383051, -6.920000 
-3.012475, -0.507525, -0.320888, -2.691587, -3.520000 
-5.317903, -1.192097, -0.848306, -4.469597, -6.510000 
-4.975848, -1.094152, -0.207178, -4.768670, -6.070000 
-5.421086, -0.898914, -0.903803, -4.517284, -6.320000 
-5.252696, 0.522696, -0.664648, -4.588048, -4.730000 
-4.954569, 0.144569, -0.473244, -4.481325, -4.810000 
-4.848910, -1.291090, -0.920062, -3.928847, -6.140000 
-4.104279, 0.464279, -0.687915, -3.416364, -3.640000 
-4.541227, 0.451227, -1.098561, -3.442666, -4.090000 
-3.804744, 0.454744, -0.506921, -3.297823, -3.350000 
-4.014944, -0.995056, -0.436640, -3.578304, -5.010000 
-4.570925, -0.549075, -0.217167, -4.353758, -5.120000 
-7.933929, 0.423929, -1.084014, -6.849915, -7.510000 
-5.925160, -1.314840, -1.111037, -4.814123, -7.240000 
-3.706481, 0.616481, -0.281560, -3.424921, -3.090000 
