calcE, errfinal, es, np, refE
-5.744411, 0.464411, -1.381548, -4.362863, -5.280000 
-7.544347, 0.014347, -1.313267, -6.231079, -7.530000 
-6.900238, 0.230238, -1.286235, -5.614003, -6.670000 
-6.281179, 0.381179, -1.300328, -4.980852, -5.900000 
-5.048917, 0.638917, -1.303890, -3.745027, -4.410000 
-6.290097, 0.310097, -3.071166, -3.218931, -5.980000 
-5.400374, -0.919626, -0.463872, -4.936502, -6.320000 
-5.003565, -1.206435, -0.989665, -4.013900, -6.210000 
-5.258717, -0.171283, -1.047201, -4.211516, -5.430000 
-5.790712, -1.199288, -1.380383, -4.410329, -6.990000 
-5.489586, -1.490414, -0.893783, -4.595804, -6.980000 
-5.668625, 2.638625, -2.107324, -3.561301, -3.030000 
-6.102621, -1.637379, -0.821715, -5.280905, -7.740000 
-5.452606, -1.897394, -0.902197, -4.550409, -7.350000 
-5.470801, -2.029199, -0.930672, -4.540129, -7.500000 
-4.098467, 0.448467, -1.146281, -2.952187, -3.650000 
-5.763542, -1.286458, -2.556354, -3.207188, -7.050000 
-5.719411, 0.979411, -2.580648, -3.138763, -4.740000 
-4.698729, 0.278729, -1.078732, -3.619997, -4.420000 
-3.851447, -0.588553, -0.908457, -2.942990, -4.440000 
-6.646457, -1.163543, -1.383983, -5.262474, -7.810000 
-6.136839, -1.203161, -1.787372, -4.349467, -7.340000 
-5.757697, -0.482303, -0.844377, -4.913320, -6.240000 
-6.084607, -1.005393, -1.404171, -4.680437, -7.090000 
-7.491293, -3.568707, -2.608356, -4.882937, -11.060000 
-4.601700, -0.038300, -0.488670, -4.113031, -4.640000 
-5.799956, -1.420044, -1.028521, -4.771435, -7.220000 
-5.145273, -0.924727, -0.513081, -4.632192, -6.070000 
-6.856489, 0.866489, -2.458111, -4.398377, -5.990000 
-7.134745, 0.424745, -1.175750, -5.958996, -6.710000 
-5.026339, -0.423661, -0.500993, -4.525346, -5.450000 
-3.901284, -0.228716, -0.381673, -3.519612, -4.130000 
-4.711364, 0.261364, -0.006966, -4.704398, -4.450000 
-5.506273, 0.276273, -0.824031, -4.682242, -5.230000 
-5.118087, 0.798087, -0.468509, -4.649578, -4.320000 
-5.304640, -1.095360, -0.424611, -4.880029, -6.400000 
-4.222160, 0.532160, -1.057574, -3.164586, -3.690000 
-4.612670, 0.672670, -1.508642, -3.104028, -3.940000 
-5.823740, 0.243740, -1.123047, -4.700692, -5.580000 
-4.393772, 0.373772, -1.217956, -3.175816, -4.020000 
-5.768297, -0.071703, -0.451878, -5.316419, -5.840000 
-6.484078, -0.675922, -0.779798, -5.704279, -7.160000 
-4.796504, 0.546504, -0.505333, -4.291171, -4.250000 
-3.315803, 3.435803, -1.176276, -2.139528, 0.120000 
-8.103175, 0.593175, -2.441136, -5.662039, -7.510000 
-4.864525, 0.444525, -2.874407, -1.990118, -4.420000 
-3.168857, 2.658857, -1.455003, -1.713854, -0.510000 
-5.340870, -1.259130, -0.547051, -4.793819, -6.600000 
-6.669313, -0.030687, -1.765114, -4.904199, -6.700000 
-5.787486, -0.072514, -0.435476, -5.352009, -5.860000 
-3.872867, 0.552867, -1.545908, -2.326959, -3.320000 
-5.150387, 0.250387, -1.228892, -3.921495, -4.900000 
-3.772717, 0.602717, -1.366749, -2.405968, -3.170000 
-7.004532, -0.805468, -1.396723, -5.607808, -7.810000 
-7.483576, 0.243576, -1.064192, -6.419385, -7.240000 
-6.884608, 0.204608, -1.089615, -5.794993, -6.680000 
-5.647465, 0.167465, -1.092134, -4.555330, -5.480000 
-5.405113, -1.314887, -1.344717, -4.060396, -6.720000 
-6.722356, 1.472356, -0.010157, -6.712199, -5.250000 
-6.198671, -1.691329, -0.790189, -5.408482, -7.890000 
-5.623134, -2.156866, -0.858501, -4.764633, -7.780000 
-3.672193, -1.007807, -0.691618, -2.980575, -4.680000 
-6.553642, -0.996358, -1.697726, -4.855916, -7.550000 
-5.613072, -0.616928, -0.441711, -5.171361, -6.230000 
-6.718783, -1.871217, -1.913867, -4.804916, -8.590000 
-6.718888, -0.871112, -1.812675, -4.906213, -7.590000 
-7.700695, -2.599305, -2.847819, -4.852876, -10.300000 
-7.508141, 0.898141, -2.478778, -5.029363, -6.610000 
-6.135415, -1.004585, -1.849850, -4.285565, -7.140000 
-5.255809, -1.114191, -0.841186, -4.414624, -6.370000 
-6.319812, 0.949812, -2.547043, -3.772770, -5.370000 
-6.483587, 0.133587, -1.143036, -5.340551, -6.350000 
-5.030667, 0.300667, -1.221072, -3.809595, -4.730000 
-4.869126, -1.580874, -0.953293, -3.915832, -6.450000 
-4.800614, -0.699386, -1.295386, -3.505228, -5.500000 
-6.385416, -3.844584, -1.114809, -5.270607, -10.230000 
-5.446451, 0.966451, -1.209302, -4.237149, -4.480000 
-4.874050, -0.965950, -0.501040, -4.373010, -5.840000 
-4.162166, -1.667834, -0.446534, -3.715632, -5.830000 
-5.544915, -2.065085, -0.966022, -4.578892, -7.610000 
-5.199562, -0.280438, -0.465826, -4.733736, -5.480000 
-9.632978, -1.267022, -2.266441, -7.366537, -10.900000 
-4.343746, 0.443746, -0.589692, -3.754053, -3.900000 
-7.634963, -2.105037, -2.415660, -5.219302, -9.740000 
