calcE, errfinal, es, np, refE
-3.737414, -0.322586, -0.161199, -3.576215, -4.060000 
-3.469255, -0.610745, -0.071653, -3.397602, -4.080000 
-4.371905, -1.518095, -0.135668, -4.236238, -5.890000 
-3.555440, -0.614560, -0.288289, -3.267150, -4.170000 
-3.945408, 1.015408, -0.443760, -3.501648, -2.930000 
-4.134047, -0.915953, -0.255673, -3.878374, -5.050000 
-3.344903, 1.814903, -0.553155, -2.791748, -1.530000 
-4.854706, -0.655294, -0.256712, -4.597994, -5.510000 
-4.067651, -1.072349, -0.236959, -3.830692, -5.140000 
-4.603722, 0.183722, -0.268088, -4.335633, -4.420000 
-4.738332, -2.401668, -0.640310, -4.098022, -7.140000 
-4.997650, -2.192350, -0.849251, -4.148398, -7.190000 
-4.070764, -1.159236, -0.250870, -3.819894, -5.230000 
-2.996428, 1.266428, -0.648508, -2.347920, -1.730000 
-2.365020, 0.495020, -0.222737, -2.142283, -1.870000 
-4.969708, -1.320292, -0.391074, -4.578634, -6.290000 
-4.087820, -1.432180, -0.468194, -3.619626, -5.520000 
-4.443998, -0.936002, -0.232110, -4.211888, -5.380000 
-4.343086, -1.366914, -0.375816, -3.967271, -5.710000 
-4.881520, -3.838480, -0.701546, -4.179973, -8.720000 
-3.497129, -0.692871, -0.125852, -3.371276, -4.190000 
-4.319719, -1.220281, -0.256865, -4.062854, -5.540000 
-4.049684, -1.240316, -0.133089, -3.916595, -5.290000 
-4.121378, 0.601378, -0.487681, -3.633697, -3.520000 
-3.726754, 0.246754, -0.252030, -3.474723, -3.480000 
-3.941538, -1.158462, -0.137172, -3.804366, -5.100000 
-3.993359, -0.436641, -0.000920, -3.992439, -4.430000 
-4.109384, 1.079384, -0.174527, -3.934857, -3.030000 
-4.288606, 0.678606, -0.319439, -3.969167, -3.610000 
-2.696854, 0.276854, -0.385418, -2.311435, -2.420000 
-4.338308, 0.778308, -0.349761, -3.988547, -3.560000 
-5.272332, -0.727668, -0.229632, -5.042700, -6.000000 
-2.750640, 0.710640, -0.363800, -2.386840, -2.040000 
-4.761924, -0.208076, -0.126627, -4.635297, -4.970000 
-3.692867, 0.102867, -0.134476, -3.558391, -3.590000 
-6.057548, 0.037548, -0.461506, -5.596042, -6.020000 
-5.752566, 0.282566, -0.279670, -5.472895, -5.470000 
-5.394392, 0.084392, -0.446517, -4.947875, -5.310000 
-5.090954, 0.320954, -0.277762, -4.813192, -4.770000 
-4.228555, -2.031445, -0.142189, -4.086366, -6.260000 
-4.775379, -0.424621, -0.573071, -4.202308, -5.200000 
-4.793385, -0.726615, -0.120705, -4.672680, -5.520000 
-1.858113, 0.568113, -0.362899, -1.495213, -1.290000 
-3.507677, 0.447677, -0.337587, -3.170090, -3.060000 
-5.351576, -1.658424, -0.410208, -4.941368, -7.010000 
-6.083049, 0.333049, -0.289214, -5.793835, -5.750000 
-5.456357, 0.416357, -0.318373, -5.137984, -5.040000 
-4.126754, 0.416754, -0.290893, -3.835861, -3.710000 
-3.491424, 0.631424, -0.001232, -3.490192, -2.860000 
-5.684219, 0.744219, -0.373969, -5.310250, -4.940000 
-4.783477, -1.546523, -0.465427, -4.318050, -6.330000 
-6.103658, 0.473658, -0.002255, -6.101403, -5.630000 
-4.140862, 0.640862, -0.001704, -4.139157, -3.500000 
-3.596010, 0.476010, -0.304849, -3.291161, -3.120000 
-5.019263, 0.659263, -0.358618, -4.660645, -4.360000 
-4.941263, -2.228737, -0.209264, -4.731998, -7.170000 
-4.289845, -2.330155, -0.234136, -4.055709, -6.620000 
-2.361597, -0.498403, -0.179835, -2.181762, -2.860000 
-3.502420, -0.317580, -0.405320, -3.097100, -3.820000 
-4.688587, -1.331413, -0.536995, -4.151592, -6.020000 
-4.604109, -0.935891, -0.121179, -4.482931, -5.540000 
-4.774861, -1.115139, -0.570438, -4.204423, -5.890000 
-4.712917, 1.102917, -0.430095, -4.282822, -3.610000 
-4.441631, 0.251631, -0.277046, -4.164585, -4.190000 
-4.419312, 0.119312, -0.245586, -4.173726, -4.300000 
-4.131178, -1.438822, -0.578675, -3.552504, -5.570000 
-3.445711, 0.715711, -0.460980, -2.984731, -2.730000 
-2.840920, 0.750920, -0.000872, -2.840048, -2.090000 
-3.575429, -0.204571, -0.561558, -3.013871, -3.780000 
-3.144132, 0.474132, -0.290731, -2.853401, -2.670000 
-3.407436, -0.892564, -0.243294, -3.164142, -4.300000 
-3.070322, -0.699678, -0.337474, -2.732849, -3.770000 
-4.895125, -2.484875, -0.307949, -4.587176, -7.380000 
-3.793414, -0.616586, -0.149059, -3.644355, -4.410000 
-4.149098, -0.750902, -0.125842, -4.023256, -4.900000 
-3.257886, -1.032114, -0.060433, -3.197454, -4.290000 
-7.427804, -0.172196, -0.639095, -6.788710, -7.600000 
-5.152964, -0.517036, -0.619677, -4.533287, -5.670000 
-3.162627, 0.532627, -0.168415, -2.994211, -2.630000 
