,Hexadecane,Cyclohexane,Chloroform,Carbontet
hexanoic_acid, 0.515229, , 0.593175, -0.594984
2_chloropropane, 0.364099, , , 
heptan_1_ol, 0.078989, 0.037548, 0.014347, -0.025804
iodomethane, -0.701966, , , 
tribromomethane, -2.219473, , , 
bromobenzene, -1.735321, -1.240316, -0.924727, -1.356148
chlorobenzene, 0.732709, -1.158462, -0.423661, -0.817848
propan_1_ol, 0.490817, 0.715711, 0.638917, 0.464279
hexan_1_ol, 0.158387, 0.084392, 0.230238, 0.821074
octan_2_one, 0.192204, , , 
3_methylpyridine, -1.093878, -1.072349, -1.897394, 
trichloromethane, 0.174553, , -0.228716, 
bromoethane, -0.330935, , , 
hexan_2_one, 0.327288, 0.320954, , 0.070658
chloroethane, -1.317001, , , 
ethylamine, 0.833159, 0.710640, 0.373772, 0.700155
111_trichloroethane, -0.511232, -0.610745, , 
iodoethane, -2.306081, , , 
benzonitrile, -1.449963, -1.220281, -1.420044, -1.420841
propane, 0.877878, 0.750920, , 
pent_1_ene, 0.864353, , , 
35_dimethylpyridine, 1.902825, , , 
tetrahydropyran, -0.505771, -0.616586, -0.965950, 
trichloroethene, -0.675806, -1.032114, , 
fluorobenzene, -0.707648, 0.102867, 0.546504, 0.529498
cyclopropane, -0.762650, , , 
methyl_formate, 0.467023, , , 
dimethyl_ether, -1.740843, , , 
toluene, -1.685489, -0.750902, -0.280438, -0.549075
anisole, -1.186633, -0.936002, -0.482303, -0.568377
ethyl_acetate, 1.296072, 0.778308, 0.243740, 0.483647
propene, 0.339000, , , 
12_dichlorobenzene, -2.140000, , , 
benzaldehyde, -1.334890, -1.366914, -1.005393, -1.150164
12_ethanediol, 0.345172, , 0.310097, 
1_iodopropane, -0.845607, , , 
4_ethylpyridine, 1.940047, , , 
pentan_2_one, 0.411253, 0.251631, , 0.144569
heptan_2_one, 0.264577, 0.282566, , 0.016671
methane, -0.776416, , , 
benzene, -0.542837, -0.692871, -0.038300, -0.511229
trimethyl_phosphate, , -0.517036, -2.105037, -1.314840
methyl_hexanoate, 0.496828, 0.333049, 0.243576, 0.062445
N_methylaniline, 0.793518, -1.546523, , -1.202877
4_methylpyridine, -1.069193, -1.159236, -2.029199, 
n_butylamine, , , , -0.670283
2_nitropropane, -0.071683, , , 
hydrazine, , , 0.444525, 
n_butyl_acetate, 0.020678, 0.744219, 0.424745, 0.518769
ethene, 0.543931, , , 
dimethylamine, -2.392860, , 0.532160, 0.591527
1_chloropropane, 0.163394, , , 
2_bromopropane, -0.122523, , , 
thiophene, -0.545276, , -1.667834, 
pentan_3_one, 0.313755, 0.119312, , 
decan_1_ol, -0.184583, , , 
o_cresol, -0.368965, -1.331413, -0.996358, -1.192097
dimethyl_disulfide, 0.309765, , , 
acetonitrile, -0.141751, 0.495020, -0.588553, 
methyl_propanoate, 0.434151, 0.416754, 0.167465, 0.263905
but_1_ene, 0.993990, , , 1.219247
octan_1_ol, -0.110619, , , 
m_xylene, -1.379750, -0.726615, -0.072514, -0.564938
4_bromotoluene, -1.082670, , , 
4_bromophenol, , -2.401668, -1.871217, -2.455698
1_iodopentane, -0.981866, , , 
acetic_acid, 0.531762, 1.266428, 0.979411, 0.374740
112_trichloro_122_trifluoroethane, 0.643315, , , 
ethanol, -0.244252, 0.276854, 0.672670, 0.536292
n_octane, -1.665651, 0.473658, 1.472356, 0.843913
naphthalene, 1.184503, -2.228737, -1.691329, -2.191035
pentan_1_ol, 0.203176, 1.102917, 0.381179, 0.522696
diethyl_disulfide, 0.747047, , , 
diiodomethane, -0.235229, , , 
diethylamine, -0.538471, 0.678606, 0.276273, 0.638975
trimethylamine, -1.061728, 0.532627, 0.443746, 0.616481
butanenitrile, 0.248973, , , 
ethane, -0.477626, , , 
acetophenone, -1.451326, -1.320292, -1.163543, -1.582990
ethanamide, -0.264844, , -1.286458, 
n_pentane, 0.639922, 0.640862, , 
triethyl_phosphate, , -0.172196, -1.267022, 0.423929
112_trichloroethane, -1.188279, , , 
quinoline, , -2.484875, -3.844584, 
methylamine, , , 0.602717, 0.258919
diethyl_ether, -1.102609, 1.079384, 0.798087, 
propanone, 0.655836, 0.474132, 0.278729, 0.454744
butanone, 0.387279, 0.246754, -0.171283, 0.238230
pyrrole, , -0.699678, -0.699386, 
butanoic_acid, 0.407279, , 0.866489, 0.333543
1_iodobutane, -0.921036, , , 
propyne, 0.304079, , , 
tetrachloroethene, 0.981062, , , 
piperidine, , , -1.114191, 
1_nitropropane, -0.460392, -0.322586, , -0.255982
hex_1_ene, 0.752706, , , 
nitromethane, -0.427178, -0.498403, -1.007807, -0.507525
222_trifluoroethanol, 1.546532, 1.814903, 2.638625, 
methyl_pentanoate, 0.277395, 0.416357, 0.204608, 0.178364
thiophenol, -1.160178, , -2.065085, 
n_propyl_acetate, 1.114471, 0.659263, 0.133587, 0.472288
dichloromethane, -1.526666, , , 
tetrahydrofuran, -1.535172, , , 
propionaldehyde, -1.205714, , , 
ethyl_formate, -0.714746, , , 
o_xylene, -1.335140, -0.935891, -0.616928, -1.094152
1_nitrobutane, -0.567592, , , 
24_dimethylpyridine, -1.031795, , , 
formaldehyde, -0.588783, , 3.435803, 
2_methylpropan_2_ol, -0.896891, 1.015408, 0.966451, 1.131947
14_dichlorobenzene, -1.947551, -1.518095, -0.919626, -1.508879
14_dioxane, -0.476565, -0.614560, -1.206435, -0.820354
iodobenzene, 0.664690, -2.031445, -1.259130, -1.836505
n_propylamine, 0.790002, , 0.300667, 0.479061
anthracene, -4.361375, , , 
22_dimethylpropane, 1.040727, , , 
4_hydroxybenzaldehyde, , -2.192350, -2.599305, -2.302789
n_hexane, 0.724668, , , 
33_dimethylbutan_2_one, 0.379473, 0.183722, , 
cyclopentanone, -0.638444, , , -0.823391
methyl_acetate, 0.473458, 0.447677, 0.250387, 0.345052
1_bromopropane, -0.389696, , , 
hex_1_yne, 0.725401, , , 
aniline, -1.550756, -1.432180, -1.203161, -1.288522
pent_1_yne, 0.801145, , , 
2_methylpyrazine, , , -1.199288, 
propanoic_acid, 0.422747, -0.204571, 0.949812, 0.451227
n_propanethiol, -0.287978, 0.476010, , 
heptan_4_one, 0.172022, , , 
n_heptane, 1.021682, , , 
butan_1_ol, 0.346304, 0.601378, 0.464411, 0.530468
pentanal, -0.773070, , , 
2_methylpyridine, -0.802579, -0.915953, -1.490414, 
ethanethiol, 1.330579, , , 
2_methylpropene, , , , 1.024011
methanol, 1.699201, 0.568113, 0.552867, 0.503723
ethyl_phenyl_ether, 0.670856, -0.727668, -0.675922, 
phenol, 0.158302, -1.438822, -1.004585, -1.291090
34_dimethylpyridine, 1.673858, , , 
methyl_benzoate, 0.644492, -1.658424, -0.805468, -1.328319
1_bromobutane, -0.454678, , , 
p_cresol, -1.813669, -1.115139, -0.871112, -0.898914
nitroethane, -2.199015, , , 
cyclohexane, -0.728790, -0.436641, 0.261364, 
ethylbenzene, 0.316232, -0.208076, -0.071703, -0.549941
12_dimethoxyethane, 0.492634, , , 
diethyl_sulfide, 1.017523, , -1.095360, 
dimethyl_sulfide, 0.808617, , , 
methyl_butanoate, -1.264094, , , 
m_cresol, -0.763419, -0.424621, -0.030687, 
nitrobenzene, -2.666235, -2.330155, -2.156866, -2.131966
cyclopentane, -0.349794, , , 
26_dimethylpyridine, -0.724595, -0.655294, -1.637379, 
pyridine, 0.853714, -0.892564, -1.580874, -0.995056
NN_dimethylformamide, , -0.317580, , 
24_dimethylpentane, 0.536055, , , 
1_bromopentane, -0.524866, , , 
acetaldehyde, 0.638459, , 0.448467, 
2_methylpropane, 1.192109, , , 
cyclopentanol, -0.118618, , , 
pentanoic_acid, 0.232636, , 0.898141, 
hydrogen_sulfide, 0.070726, , 2.658857, 
n_butane, 1.203325, 0.631424, , 
morpholine, , , -1.314887, 
p_xylene, -1.347334, , , 
benzamide, , -3.838480, -3.568707, -3.413182
dibromomethane, 0.502528, , , 
