calcE, errfinal, es, np, refE
0.028418, -0.438418, -1.159999, 1.188417, -0.410000 
0.185469, -0.265469, -1.135034, 1.320503, -0.080000 
-0.099654, -0.460346, -1.159002, 1.059347, -0.560000 
-1.630433, 1.690433, -2.626106, 0.995674, 0.060000 
-0.022644, 0.092644, -1.308195, 1.285550, 0.070000 
-0.213045, -0.056955, -1.237558, 1.024514, -0.270000 
-0.902027, 0.652027, -2.125904, 1.223877, -0.250000 
-0.740944, 0.620944, -2.097153, 1.356210, -0.120000 
-1.038716, 0.448716, -2.133591, 1.094875, -0.590000 
-1.260163, -1.819837, -2.492685, 1.232522, -3.080000 
-1.427184, -1.912816, -2.530819, 1.103635, -3.340000 
-1.615535, 1.505535, -2.500020, 0.884485, -0.110000 
-0.145915, -0.104085, -1.214030, 1.068115, -0.250000 
-6.924139, 2.764139, -7.987939, 1.063800, -4.160000 
-0.555992, -0.594008, -1.692948, 1.136956, -1.150000 
0.657742, 1.112258, -0.488256, 1.145998, 1.770000 
-2.076103, 0.126103, -3.131675, 1.055572, -1.950000 
-0.927618, -0.432382, -2.151670, 1.224052, -1.360000 
-2.957092, -0.582908, -4.478598, 1.521506, -3.540000 
-3.964533, -0.875467, -5.166131, 1.201598, -4.840000 
-9.557511, 0.257511, -10.433625, 0.876114, -9.300000 
-0.782160, -0.227840, -2.017051, 1.234892, -1.010000 
-3.392202, -1.657798, -4.434375, 1.042172, -5.050000 
-0.277116, -0.202884, -1.325552, 1.048436, -0.480000 
-0.369593, 0.119593, -1.398140, 1.028546, -0.250000 
-4.651553, -0.858447, -5.903413, 1.251860, -5.510000 
-1.125062, 0.665062, -2.206831, 1.081769, -0.460000 
-6.985578, 0.215578, -8.021761, 1.036183, -6.770000 
-3.474801, -1.035199, -4.563607, 1.088806, -4.510000 
1.035897, 1.284103, -0.027289, 1.063185, 2.320000 
0.485426, 0.674574, -0.541441, 1.026867, 1.160000 
-5.029512, -0.540488, -6.154493, 1.124981, -5.570000 
-2.843213, -1.786787, -4.006937, 1.163725, -4.630000 
-1.451784, -1.688216, -2.536010, 1.084226, -3.140000 
1.122837, 1.377163, -0.027361, 1.150198, 2.500000 
-6.329526, 2.019526, -7.277157, 0.947631, -4.310000 
1.300925, 1.579075, -0.037864, 1.338789, 2.880000 
-2.564318, -2.295682, -3.858426, 1.294108, -4.860000 
-2.353581, -2.246419, -3.660414, 1.306833, -4.600000 
-2.882648, -1.887352, -4.036890, 1.154242, -4.770000 
-2.813201, -0.076799, -4.067859, 1.254658, -2.890000 
-2.690257, -2.529743, -3.938116, 1.247859, -5.220000 
-2.558390, -2.281610, -3.845369, 1.286979, -4.840000 
-6.020790, -1.109210, -7.228195, 1.207405, -7.130000 
-0.918735, -0.471265, -2.219856, 1.301122, -1.390000 
-2.811786, -1.928214, -4.085687, 1.273901, -4.740000 
-10.069476, -0.410524, -11.286899, 1.217424, -10.480000 
-3.006012, -1.933988, -4.158107, 1.152095, -4.940000 
-7.446340, -2.003660, -8.694755, 1.248415, -9.450000 
-4.117128, 0.617128, -4.937522, 0.820395, -3.500000 
-7.924226, 1.224226, -8.783594, 0.859368, -6.700000 
-2.956156, -0.933844, -3.774629, 0.818474, -3.890000 
-4.723486, 0.143486, -6.026470, 1.302983, -4.580000 
-5.990406, 0.500406, -7.102674, 1.112268, -5.490000 
-2.687670, 0.237670, -3.917719, 1.230049, -2.450000 
-3.409176, -0.820824, -5.012391, 1.603216, -4.230000 
-5.007901, 0.987901, -6.189304, 1.181403, -4.020000 
-9.970835, -0.929165, -11.194537, 1.223703, -10.900000 
-1.313066, 0.443066, -2.375945, 1.062880, -0.870000 
-3.173847, -0.926153, -4.374258, 1.200412, -4.100000 
-1.185391, -0.274609, -2.356716, 1.171325, -1.460000 
-0.308508, -0.391492, -1.234411, 0.925903, -0.700000 
-0.430035, -0.389965, -1.202783, 0.772749, -0.820000 
0.295189, 1.494811, -0.607669, 0.902858, 1.790000 
0.548220, 0.831780, -0.490110, 1.038330, 1.380000 
-4.159709, -0.560291, -5.274776, 1.115066, -4.720000 
-7.272479, 0.912479, -8.394964, 1.122485, -6.360000 
-3.592356, -0.047644, -4.675808, 1.083452, -3.640000 
-3.592356, 0.412356, -4.675808, 1.083452, -3.180000 
-2.284047, -1.355953, -3.378572, 1.094526, -3.640000 
-1.127227, 0.007227, -2.276233, 1.149007, -1.120000 
-0.480146, -0.149854, -1.384287, 0.904140, -0.630000 
-0.480146, -0.109854, -1.384287, 0.904140, -0.590000 
1.149029, 0.080971, -0.037380, 1.186408, 1.230000 
1.039558, 0.160442, -0.054944, 1.094502, 1.200000 
-3.836433, -1.653567, -4.954147, 1.117714, -5.490000 
-3.209503, -1.470497, -4.314234, 1.104731, -4.680000 
0.718717, 0.031283, -0.166022, 0.884739, 0.750000 
-0.583525, -1.526475, -1.474397, 0.890871, -2.110000 
-1.129150, -0.230850, -1.971344, 0.842193, -1.360000 
-1.015536, -0.614464, -2.369050, 1.353515, -1.630000 
-0.880385, -0.879615, -2.055342, 1.174957, -1.760000 
-0.726313, -0.703687, -1.949409, 1.223095, -1.430000 
-2.138430, -1.931570, -3.320210, 1.181780, -4.070000 
-2.262984, -0.227016, -3.220935, 0.957950, -2.490000 
0.231946, -2.061946, -0.816140, 1.048087, -1.830000 
-1.685469, -0.234531, -2.539189, 0.853720, -1.920000 
-0.909064, -0.630936, -1.828089, 0.919025, -1.540000 
-3.416065, -0.873935, -4.280827, 0.864762, -4.290000 
-9.500273, -0.209727, -10.373934, 0.873661, -9.710000 
0.808708, 1.021292, -0.017755, 0.826464, 1.830000 
-2.329739, 1.029739, -3.244175, 0.914436, -1.300000 
-4.431947, -0.578053, -5.284060, 0.852112, -5.010000 
0.232214, 1.037786, -0.521046, 0.753260, 1.270000 
-3.488838, 0.388838, -4.674472, 1.185634, -3.100000 
-3.853323, 1.203323, -4.875404, 1.022080, -2.650000 
-2.207703, -0.012297, -3.602973, 1.395270, -2.220000 
-4.200028, -0.299972, -5.067136, 0.867108, -4.500000 
-0.883531, 0.083531, -2.197782, 1.314252, -0.800000 
-1.188521, 0.408521, -2.288611, 1.100091, -0.780000 
-3.429894, -0.810106, -4.935206, 1.505312, -4.240000 
-2.816728, -0.223272, -4.297550, 1.480822, -3.040000 
-2.416078, -0.513922, -3.897273, 1.481195, -2.930000 
0.800425, 0.879575, -0.501376, 1.301800, 1.680000 
0.234624, 0.055376, -1.033129, 1.267753, 0.290000 
-3.637154, -0.722846, -5.013567, 1.376413, -4.360000 
-2.963189, -0.326811, -4.312818, 1.349629, -3.290000 
