calcE, errfinal, es, np, refE
-4.054864, 0.284864, -0.420703, -3.634161, -3.770000 
-5.852236, 0.102236, -0.397690, -5.454546, -5.750000 
-5.236803, 0.096803, -0.383535, -4.853268, -5.140000 
-4.307840, -0.332160, -0.125780, -4.182060, -4.640000 
-4.601106, 0.221106, -0.364778, -4.236327, -4.380000 
-3.429971, 0.619971, -0.397827, -3.032144, -2.810000 
-4.303745, -1.386255, -0.110632, -4.193113, -5.690000 
-3.529367, -0.550633, -0.235235, -3.294132, -4.080000 
-3.677707, 0.197707, -0.191018, -3.486689, -3.480000 
-5.565411, 0.205411, -0.225103, -5.340308, -5.360000 
-4.951136, 0.271136, -0.222807, -4.728329, -4.680000 
-4.501455, 0.161455, -0.216137, -4.285318, -4.340000 
-2.943291, 0.113291, -0.501890, -2.441401, -2.830000 
-3.140335, 0.540335, -0.230021, -2.910314, -2.600000 
-4.825952, -1.224048, -0.315212, -4.510739, -6.050000 
-3.990991, -1.439009, -0.369883, -3.621108, -5.430000 
-4.240744, -1.289256, -0.297140, -3.943604, -5.530000 
-4.696832, -3.073168, -0.555913, -4.140919, -7.770000 
-3.489405, -0.470595, -0.098680, -3.390725, -3.960000 
-4.000809, -1.659191, -0.104215, -3.896594, -5.660000 
-3.201920, -1.178080, -0.055131, -3.146789, -4.380000 
-5.501872, 0.641872, -0.312443, -5.189428, -4.860000 
-4.013807, 0.393807, -0.316621, -3.697187, -3.620000 
-3.902044, -1.237956, -0.109560, -3.792484, -5.140000 
-2.898447, -0.271553, -0.085947, -2.812499, -3.170000 
-2.708879, -0.021121, -0.301323, -2.407556, -2.730000 
-4.253818, 0.633818, -0.290477, -3.963341, -3.620000 
-2.777435, 0.687435, -0.299929, -2.477506, -2.090000 
-4.665697, -0.324303, -0.102393, -4.563304, -4.990000 
-3.670570, -0.479430, -0.106266, -3.564304, -4.150000 
-4.695237, -0.294763, -0.097255, -4.597983, -4.990000 
-1.924466, 0.434466, -0.274085, -1.650382, -1.490000 
-3.473318, 0.353318, -0.269225, -3.204093, -3.120000 
-5.868079, 0.228079, -0.230049, -5.638030, -5.640000 
-5.289221, 0.349221, -0.259596, -5.029625, -4.940000 
-4.051456, 0.401456, -0.229755, -3.821701, -3.650000 
-4.706233, 0.706233, -0.001288, -4.704944, -4.000000 
-5.925014, 0.465014, -0.001666, -5.923348, -5.460000 
-4.211860, -1.878140, -0.186215, -4.025644, -6.090000 
-3.082206, -0.107794, -0.126918, -2.955287, -3.190000 
-2.427403, -0.472597, -0.140140, -2.287263, -2.900000 
-4.565146, -1.684854, -0.450555, -4.114591, -6.250000 
-4.519239, -0.700761, -0.097279, -4.421960, -5.220000 
-4.609826, -2.350174, -0.544929, -4.064896, -6.960000 
-4.641372, -1.218628, -0.477772, -4.163600, -5.860000 
-4.809819, -4.370181, -0.698191, -4.111628, -9.180000 
-4.698380, -0.311620, -0.097657, -4.600723, -5.010000 
-4.042616, -1.447384, -0.483774, -3.558842, -5.490000 
-3.470950, 0.490950, -0.411774, -3.059176, -2.980000 
-4.885253, 0.785253, -0.298435, -4.586818, -4.100000 
-3.390558, 0.260558, -0.295500, -3.095058, -3.130000 
-3.387772, -0.422228, -0.189197, -3.198576, -3.810000 
-4.095991, -0.744009, -0.100452, -3.995539, -4.840000 
-7.075288, 0.295288, -0.514355, -6.560933, -6.780000 
-4.950560, -0.869440, -0.481886, -4.468673, -5.820000 
