calcE, errfinal, es, np, refE
-3.550657, -0.609343, -0.636838, -2.913819, -4.160000 
-4.064952, -0.615048, -0.623468, -3.441483, -4.680000 
-3.036256, -0.383744, -0.638051, -2.398205, -3.420000 
-2.929567, -0.130433, -0.670516, -2.259051, -3.060000 
-4.458744, -0.651256, -1.368731, -3.090014, -5.110000 
-3.966288, -0.473712, -1.391159, -2.575129, -4.440000 
-3.043103, 1.913103, -1.343445, -1.699658, -1.130000 
-3.095486, -0.594514, -0.662254, -2.433232, -3.690000 
-7.047656, 1.927656, -4.631660, -2.415996, -5.120000 
-2.993208, 0.453208, -0.248845, -2.744363, -2.540000 
-4.046497, -0.483503, -1.663371, -2.383126, -4.530000 
-4.197863, -1.812137, -1.141686, -3.056176, -6.010000 
-5.582972, 1.032972, -2.616494, -2.966477, -4.550000 
-7.978154, 0.538154, -6.311937, -1.666217, -7.440000 
-4.168654, -1.501346, -1.069175, -3.099480, -5.670000 
-4.639337, -0.250663, -2.309742, -2.329595, -4.890000 
-3.078401, -0.321599, -0.723785, -2.354616, -3.400000 
-3.036759, 0.196759, -0.761598, -2.275161, -2.840000 
-6.241023, -0.158977, -3.073758, -3.167265, -6.400000 
-3.699208, -0.700792, -1.211430, -2.487777, -4.400000 
-6.860733, 1.030733, -4.555065, -2.305668, -5.830000 
-5.041196, 0.261196, -2.525306, -2.515890, -4.780000 
-2.427025, 0.977025, -0.013486, -2.413538, -1.450000 
-2.537154, 0.507154, -0.268700, -2.268454, -2.030000 
-5.880219, 0.010219, -3.219814, -2.660404, -5.870000 
-4.905901, -1.234099, -2.090724, -2.815177, -6.140000 
-3.887123, -0.342877, -1.389531, -2.497592, -4.230000 
-2.774619, 1.034619, -0.013480, -2.761139, -1.740000 
-6.219618, 1.409618, -4.267703, -1.951915, -4.810000 
-4.905314, -1.494686, -2.128017, -2.777297, -6.400000 
-5.360995, 0.830995, -2.182551, -3.178444, -4.530000 
-6.979632, -3.610368, -3.989957, -2.989675, -10.590000 
-5.402828, -2.397172, -2.147514, -3.255315, -7.800000 
-9.514361, -2.845639, -6.484665, -3.029696, -12.360000 
-4.956637, -1.643363, -2.187919, -2.768718, -6.600000 
-8.546250, -2.803750, -5.392748, -3.153502, -11.350000 
-6.960403, 0.610403, -5.361083, -1.599320, -6.350000 
-3.534061, 0.384061, -2.098108, -1.435953, -3.150000 
-6.577190, -0.162810, -3.205697, -3.371494, -6.740000 
-6.748365, 0.038365, -4.138748, -2.609617, -6.710000 
-5.088569, -0.381431, -2.008434, -3.080135, -5.470000 
-7.070950, -3.399050, -2.500074, -4.570876, -10.470000 
-6.171140, 0.041140, -3.285339, -2.885801, -6.130000 
-9.130077, -2.639923, -6.075296, -3.054781, -11.770000 
-3.602643, -0.117357, -1.190325, -2.412317, -3.720000 
-5.350698, -0.739302, -2.388961, -2.961736, -6.090000 
-4.067417, -1.392583, -1.221875, -2.845542, -5.460000 
-2.543311, -0.356689, -0.678193, -1.865118, -2.900000 
-1.916975, -0.513025, -0.663687, -1.253289, -2.430000 
-2.077665, 1.327665, -0.304609, -1.773057, -0.750000 
-2.557856, 0.667856, -0.243609, -2.314246, -1.890000 
-5.552982, -0.157018, -2.932187, -2.620795, -5.710000 
-7.646317, 0.066317, -4.995886, -2.650431, -7.580000 
-4.983803, 1.203803, -2.489302, -2.494500, -3.780000 
-4.983803, 0.363803, -2.489302, -2.494500, -4.620000 
-4.418292, 0.168292, -1.879553, -2.538739, -4.250000 
-3.938244, -1.061756, -1.181862, -2.756382, -5.000000 
-2.534054, -0.045946, -0.755876, -1.778178, -2.580000 
-2.924278, -0.535722, -0.018482, -2.905796, -3.460000 
-2.566108, -0.083892, -0.027464, -2.538644, -2.650000 
-4.939844, -0.070156, -2.360338, -2.579506, -5.010000 
-1.783656, 0.183656, -0.082983, -1.700673, -1.600000 
-8.798640, -1.081360, -3.068656, -5.729984, -9.880000 
-2.523394, -1.656606, -0.798223, -1.725171, -4.180000 
-2.596582, -0.473418, -1.065872, -1.530710, -3.070000 
-3.907274, 1.017274, -1.047223, -2.860050, -2.890000 
-4.060367, -0.029633, -1.008012, -3.052355, -4.090000 
-4.698569, -0.051431, -1.811262, -2.887307, -4.750000 
-3.742820, -1.887180, -1.749678, -1.993141, -5.630000 
-2.791895, -1.448105, -0.438674, -2.353221, -4.240000 
-2.893582, 0.833582, -1.316825, -1.576756, -2.060000 
-1.476710, 0.836710, -0.008838, -1.467871, -0.640000 
-4.687205, 0.327205, -3.116870, -1.570334, -4.360000 
-1.439222, 1.169222, -0.263788, -1.175435, -0.270000 
-5.431760, 1.371760, -2.529056, -2.902704, -4.060000 
-5.577085, -0.072915, -1.836918, -3.740167, -5.650000 
-4.457611, 0.367611, -2.827371, -1.630239, -4.090000 
-4.506611, -0.573389, -1.090102, -3.416510, -5.080000 
-3.755611, -0.114389, -1.194641, -2.560970, -3.870000 
-3.554355, 0.324355, -2.788868, -0.765487, -3.230000 
-7.006682, -0.743318, -2.826916, -4.179766, -7.750000 
-6.378709, 0.728709, -2.296776, -4.081933, -5.650000 
-3.618069, 0.678069, -0.251300, -3.366769, -2.940000 
-3.773352, 0.343352, -0.542598, -3.230754, -3.430000 
-6.522881, -0.537119, -2.858047, -3.664834, -7.060000 
-5.864190, 0.844190, -2.306354, -3.557836, -5.020000 
-8.814774, -0.005226, -5.109855, -3.704919, -8.820000 
-7.451031, 4.011031, -6.810222, -0.640809, -3.440000 
-4.268681, -1.911319, -1.288266, -2.980415, -6.180000 
-3.264651, -0.185349, -1.255004, -2.009648, -3.450000 
-2.740242, -0.329758, -1.329342, -1.410900, -3.070000 
-7.073195, -1.126805, -4.000671, -3.072524, -8.200000 
-4.499771, -0.750229, -1.053563, -3.446208, -5.250000 
-0.833391, 1.343391, -0.004574, -0.828817, 0.510000 
-4.296506, 0.426506, -3.374613, -0.921893, -3.870000 
-5.099206, 1.559206, -2.846720, -2.252486, -3.540000 
-6.870459, -0.389541, -3.210794, -3.659665, -7.260000 
-5.753534, 1.163534, -2.460005, -3.293528, -4.590000 
