calcE, errfinal, es, np, refE
-4.357049, -0.892951, -0.371306, -3.985743, -5.250000 
-4.309954, -0.600046, -0.615542, -3.694412, -4.910000 
-5.288190, 0.288190, -0.586604, -4.701586, -5.000000 
-5.709458, -2.990542, -1.231849, -4.477609, -8.700000 
-4.379418, 0.379418, -1.551491, -2.827927, -4.000000 
-5.105913, -1.584087, -1.079251, -4.026662, -6.690000 
-4.942769, 0.632769, -0.902843, -4.039926, -4.310000 
-5.545043, 0.305043, -1.469954, -4.075089, -5.240000 
-4.515775, 0.245775, -0.625700, -3.890075, -4.270000 
-4.908373, 1.158373, -0.552225, -4.356147, -3.750000 
-3.484075, 0.804075, -0.630580, -2.853495, -2.680000 
-3.700456, 0.370456, -0.906920, -2.793536, -3.330000 
-5.087397, 0.677397, -0.712982, -4.374415, -4.410000 
-3.624702, 0.954702, -0.760088, -2.864614, -2.670000 
-6.746728, -0.003272, -0.857055, -5.889673, -6.750000 
-6.387992, 0.087992, -0.614400, -5.773592, -6.300000 
-6.115404, -0.004596, -0.836707, -5.278697, -6.120000 
-5.766515, 0.166515, -0.614773, -5.151742, -5.600000 
-6.831108, -0.138892, -1.504850, -5.326258, -6.970000 
-2.937031, 0.757031, -0.912883, -2.024148, -2.180000 
-4.359285, 0.549285, -0.756364, -3.602921, -3.810000 
-6.145198, -1.814802, -0.872634, -5.272564, -7.960000 
-6.728619, 0.348619, -0.652502, -6.076117, -6.380000 
-6.137480, 0.487480, -0.679582, -5.457898, -5.650000 
-4.896877, 0.276877, -0.666387, -4.230490, -4.620000 
-2.938222, 0.288222, -0.835846, -2.102376, -2.650000 
-6.371047, 0.801047, -0.750768, -5.620279, -5.570000 
-4.890407, 0.560407, -0.786439, -4.103968, -4.330000 
-6.371953, 0.991953, -0.005917, -6.366036, -5.380000 
-5.735200, 0.735200, -0.727251, -5.007949, -5.000000 
-4.251645, 0.741645, -0.759518, -3.492127, -3.510000 
-3.092919, -1.217081, -0.421617, -2.671303, -4.310000 
-5.602672, -1.827328, -1.074567, -4.528105, -7.430000 
-5.723976, -1.836024, -1.146071, -4.577905, -7.560000 
-5.486432, 0.316432, -0.834627, -4.651805, -5.170000 
-5.154543, 0.134543, -0.614191, -4.540352, -5.020000 
-6.202464, 0.312464, -1.502627, -4.699836, -5.890000 
-5.131439, -1.798561, -1.168047, -3.963392, -6.930000 
-4.280580, 0.570580, -0.852382, -3.428198, -3.710000 
-4.942436, 0.372436, -1.486770, -3.455666, -4.570000 
-3.966196, 0.376196, -0.661792, -3.304404, -3.590000 
-4.173078, -0.956922, -0.575764, -3.597314, -5.130000 
-4.690630, -0.429370, -0.283498, -4.407132, -5.120000 
-3.800793, 1.090793, -0.363658, -3.437134, -2.710000 
