calcE, errfinal, es, np, refE
-4.212324, -0.647676, -0.668214, -3.544110, -4.860000 
-5.204765, 0.294765, -0.637556, -4.567209, -4.910000 
-5.667176, -3.022824, -1.327485, -4.339690, -8.690000 
-4.360529, 0.280529, -1.696604, -2.663924, -4.080000 
-5.059962, -1.040038, -1.178348, -3.881614, -6.100000 
-4.865075, 0.695075, -0.969987, -3.895087, -4.170000 
-5.539846, 0.239846, -1.609040, -3.930806, -5.300000 
-4.428282, 0.198282, -0.685416, -3.742866, -4.230000 
-4.806440, 0.876440, -0.590132, -4.216308, -3.930000 
-3.380234, 0.020234, -0.690338, -2.689896, -3.360000 
-3.620287, 0.200287, -0.991298, -2.628989, -3.420000 
-5.005916, 0.745916, -0.771050, -4.234865, -4.260000 
-3.525435, 0.515435, -0.824244, -2.701191, -3.010000 
-6.695113, -0.044887, -0.921031, -5.774082, -6.740000 
-6.324141, 0.174141, -0.667976, -5.656166, -6.150000 
-6.053228, 0.203228, -0.899783, -5.153446, -5.850000 
-5.693182, 0.203182, -0.668699, -5.024483, -5.490000 
-6.838516, 0.168516, -1.636757, -5.201759, -6.670000 
-5.654481, -0.665519, -1.214935, -4.439546, -6.320000 
-2.849181, 1.119181, -1.001745, -1.847436, -1.730000 
-4.274473, 0.574473, -0.823301, -3.451172, -3.700000 
-6.674180, 0.414180, -0.710706, -5.963474, -6.260000 
-6.072961, 0.462961, -0.737481, -5.335480, -5.610000 
-4.815227, 0.615227, -0.726562, -4.088665, -4.200000 
-2.837261, -0.362739, -0.910360, -1.926901, -3.200000 
-6.311409, 0.911409, -0.810980, -5.500429, -5.400000 
-6.264488, 0.974488, -0.006510, -6.257978, -5.290000 
-5.664582, 0.794582, -0.786166, -4.878416, -4.870000 
-4.162831, 0.472831, -0.824205, -3.338626, -3.690000 
-2.964866, -1.235134, -0.460043, -2.504823, -4.200000 
-5.552740, -1.697260, -1.161755, -4.390985, -7.250000 
-5.680966, -1.499034, -1.239394, -4.441572, -7.180000 
-5.416639, 0.696639, -0.899998, -4.516641, -4.720000 
-5.071561, 0.201561, -0.668135, -4.403426, -4.870000 
-6.205556, 0.495556, -1.640124, -4.565432, -5.710000 
-5.080876, -1.749124, -1.263533, -3.817343, -6.830000 
-4.505633, -0.644367, -0.558487, -3.947146, -5.150000 
-4.189372, 0.619372, -0.915686, -3.273686, -3.570000 
-4.937487, 0.217487, -1.635898, -3.301589, -4.720000 
-3.868903, 0.608903, -0.720968, -3.147935, -3.260000 
-4.074562, -1.045438, -0.629085, -3.445477, -5.120000 
-4.577139, -0.482861, -0.309039, -4.268100, -5.060000 
-3.678057, 1.048057, -0.395293, -3.282764, -2.630000 
