n_octane,-3.570000,-3.231249,-0.044204,-3.187045
toluene,-4.680000,-3.967013,-1.933622,-2.033391
ethanol,-4.430000,-6.483865,-5.400768,-1.083098
14_dioxane,-5.330000,-5.488669,-3.875019,-1.613650
butanone,-4.730000,-5.847082,-4.118201,-1.728881
acetonitrile,-4.850000,-4.320413,-3.331218,-0.989195
nitromethane,-5.620000,-3.539079,-2.527967,-1.011112
Li,-120.459000,-120.604170,-121.670314,1.066144
Na,-97.753000,-97.369073,-98.337658,0.968585
K,-79.828000,-81.005173,-81.852777,0.847603
Rb,-77.199000,-76.754012,-77.556608,0.802597
Cs,-71.702000,-71.135616,-71.865063,0.729447
Cl,-62.620000,-61.325642,-61.770933,0.445291
Br,-59.034000,-59.330983,-59.719068,0.388085
I,-54.015000,-54.697077,-54.922919,0.225842
