14_dioxane,-5.010000,-5.706435,-3.978984,-1.727451
butanone,-4.520000,-6.076755,-4.220377,-1.856378
ethanol,-5.400000,-7.138757,-6.004915,-1.133843
n_octane,-3.940000,-3.533911,-0.046064,-3.487847
nitromethane,-5.620000,-3.668115,-2.614814,-1.053301
toluene,-4.940000,-4.200601,-2.003521,-2.197079
Li,-131.692161,-133.328941,-134.599781,1.270840
Na,-104.230401,-104.680715,-105.842402,1.161686
K,-86.926386,-86.392188,-87.418514,1.026325
Rb,-80.544933,-81.786543,-82.762513,0.975970
Cs,-74.808795,-75.767772,-76.661898,0.894126
Cl,-59.536329,-59.025819,-59.602016,0.576197
Br,-55.927342,-57.031024,-57.543217,0.512193
I,-53.059273,-52.391339,-52.722006,0.330666
