14_dioxane,-5.030000,-5.711433,-4.050438,-1.660995
butanone,-4.560000,-6.053798,-4.292051,-1.761747
ethanol,-5.230000,-6.974899,-5.777792,-1.197107
n_octane,-3.770000,-3.083703,-0.047010,-3.036693
nitromethane,-5.660000,-3.791800,-2.657634,-1.134166
toluene,-4.880000,-4.071465,-2.043470,-2.027995
Li,-128.824000,-129.558248,-130.240331,0.682082
Na,-103.728000,-104.601962,-105.198744,0.596782
K,-86.520000,-86.518932,-87.009933,0.491001
Rb,-81.023000,-81.898470,-82.350119,0.451650
Cs,-75.765000,-75.837218,-76.224910,0.387691
Cl,-61.185000,-60.612329,-60.751568,0.139239
Br,-57.839000,-58.587218,-58.676440,0.089222
I,-53.298000,-53.870269,-53.817633,-0.052636
