,Error,Atom Type,,,,,,,,acetic_acid,"['c', 'c3', 'o', 'oh', 'hc', 'hc', 'hc', 'ho']"
heptan_1_ol,0.078989,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,ethanol,"['c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'h1', 'h1', 'ho']"
iodomethane,-0.763419,"['c3', 'i', 'h1', 'h1', 'h1']",,,,,,,,methanol,"['c3', 'oh', 'h1', 'h1', 'h1', 'ho']"
tribromomethane,-2.219473,"['c3', 'br', 'br', 'br', 'h3']",,,,,,,,p_cresol,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']"
bromobenzene,-1.735321,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'br', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,propanoic_acid,"['c', 'c3', 'c3', 'o', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'ho']"
chlorobenzene,-1.317001,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'cl', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,toluene,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'ha', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']"
propan_1_ol,0.490817,"['c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'ho']",,,,,,,,ethylamine,"['c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']"
p_cresol,-1.347334,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']",,,,,,,,n_octane,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
hexan_1_ol,0.158387,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,pyridine,"['ca', 'ca', 'ca', 'ca', 'ca', 'nb', 'ha', 'ha', 'ha', 'h4', 'h4']"
octan_2_one,0.192204,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,nitromethane,"['c3', 'no', 'o', 'o', 'h1', 'h1', 'h1']"
3_methylpyridine,-1.093878,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc']",,,,,,,,heptan_1_ol,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
trichloromethane,-0.72879,"['c3', 'cl', 'cl', 'cl', 'h3']",,,,,,,,n_butyl_acetate,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
bromoethane,-0.330935,"['c3', 'c3', 'br', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,anthracene,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha']"
hexan_2_one,0.327288,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,4_ethylpyridine,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc']"
chloroethane,0.174553,"['c3', 'c3', 'cl', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,,
pyridine,-0.896891,"['ca', 'ca', 'ca', 'ca', 'ca', 'nb', 'ha', 'ha', 'ha', 'h4', 'h4']",,,,,,,,,
ethylamine,0.316232,"['c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']",,,,,,,,,
