,Error,Atom Type
4_nitroaniline,-2.803750,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'nh', 'no', 'o', 'o', 'ha', 'ha', 'ha', 'ha', 'hn', 'hn']"
iodomethane,-0.329758,"['c3', 'i', 'h1', 'h1', 'h1']"
tribromomethane,-2.899041,"['c3', 'br', 'br', 'br', 'h3']"
bromobenzene,-1.392583,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'br', 'ha', 'ha', 'ha', 'ha', 'ha']"
chlorobenzene,-1.061756,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'cl', 'ha', 'ha', 'ha', 'ha', 'ha']"
propan_1_ol,0.019060,"['c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'ho']"
p_cresol,-1.625540,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']"
2_chloropropane,0.196759,"['c3', 'c3', 'c3', 'cl', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
octan_2_one,0.512146,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
heptan_1_ol,-0.743318,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
trichloromethane,-0.998307,"['c3', 'cl', 'cl', 'cl', 'h3']"
bromoethane,-0.356689,"['c3', 'c3', 'br', 'hc', 'hc', 'hc', 'h1', 'h1']"
hexan_2_one,0.844190,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
chloroethane,-0.045946,"['c3', 'c3', 'cl', 'hc', 'hc', 'hc', 'h1', 'h1']"
2_ethylpyrazine,-0.158977,"['ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'nb', 'h4', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc']"
piperazine,0.497341,"['c3', 'c3', 'c3', 'c3', 'n3', 'n3', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'hn', 'hn']"
ethylamine,0.367611,"['c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']"
111_trichloroethane,-0.594514,"['c3', 'c3', 'cl', 'cl', 'cl', 'hc', 'hc', 'hc']"
iodoethane,-0.185349,"['c3', 'c3', 'i', 'hc', 'hc', 'hc', 'h1', 'h1']"
benzonitrile,-0.739302,"['cg', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'n1', 'ha', 'ha', 'ha', 'ha', 'ha']"
propane,0.742148,"['c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
tetrahydropyran,-0.414131,"['c3', 'c3', 'c3', 'c3', 'c3', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'h1']"
trichloroethene,-0.924455,"['c2', 'c2', 'cl', 'cl', 'cl', 'h4']"
fluorobenzene,-0.114389,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'f', 'ha', 'ha', 'ha', 'ha', 'ha']"
cyclopropane,0.183656,"['cx', 'cx', 'cx', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
methyl_formate,1.477777,"['c', 'c3', 'o', 'os', 'h5', 'h1', 'h1', 'h1']"
propanone,1.342974,"['c', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
toluene,-0.491327,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'ha', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']"
anisole,-0.381431,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'os', 'ha', 'ha', 'ha', 'ha', 'ha', 'h1', 'h1', 'h1']"
ethyl_acetate,1.371760,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
propene,0.915360,"['c2', 'c2', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']"
methyl_propyl_ether,0.285296,"['c3', 'c3', 'c3', 'c3', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc', 'h1', 'h1']"
ethene,1.169222,"['c2', 'c2', 'ha', 'ha', 'ha', 'ha']"
12_ethanediol,0.538154,"['c3', 'c3', 'oh', 'oh', 'h1', 'h1', 'h1', 'h1', 'ho', 'ho']"
methyl_acetate,1.559206,"['c', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1']"
4_ethylpyridine,-2.397172,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc']"
pentan_2_one,0.998139,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
heptan_2_one,0.728709,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
methane,1.343391,"['c3', 'hc', 'hc', 'hc', 'hc']"
benzene,-0.117357,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha']"
trimethyl_phosphate,1.199419,"['c3', 'c3', 'c3', 'o', 'os', 'os', 'os', 'p5', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']"
N_methylaniline,-0.321892,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nh', 'ha', 'ha', 'ha', 'ha', 'ha', 'h1', 'h1', 'h1', 'hn']"
4_methylpyridine,-1.643363,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc']"
n_butylamine,0.276171,"['c3', 'c3', 'c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']"
2_nitropropane,-0.342877,"['c3', 'c3', 'c3', 'no', 'o', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
hydrazine,4.011031,"['n3', 'n3', 'hn', 'hn', 'hn', 'hn']"
n_butyl_acetate,1.622667,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
hexan_1_ol,-0.537119,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
112_trichloroethane,-0.483503,"['c3', 'c3', 'cl', 'cl', 'cl', 'h1', 'h1', 'h2']"
