,Error,Atom Type
1_chloro_222_trifluoroethane,1.690433,"['c3', 'c3', 'f', 'f', 'f', 'cl', 'h1', 'h1']"
4_nitroaniline,-2.003660,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'nh', 'no', 'o', 'o', 'ha', 'ha', 'ha', 'ha', 'hn', 'hn']"
iodomethane,0.694441,"['c3', 'i', 'h1', 'h1', 'h1']"
tribromomethane,-2.008491,"['c3', 'br', 'br', 'br', 'h3']"
bromobenzene,-0.274609,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'br', 'ha', 'ha', 'ha', 'ha', 'ha']"
chlorobenzene,0.007227,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'cl', 'ha', 'ha', 'ha', 'ha', 'ha']"
propan_1_ol,-0.156095,"['c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'ho']"
p_cresol,-0.216024,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']"
2_chloropropane,0.119593,"['c3', 'c3', 'c3', 'cl', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
octan_2_one,-0.198200,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
3_methylpyridine,-1.887352,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc']"
trichloromethane,-0.302028,"['c3', 'cl', 'cl', 'cl', 'h3']"
bromoethane,-0.391492,"['c3', 'c3', 'br', 'hc', 'hc', 'hc', 'h1', 'h1']"
hexan_2_one,-0.326811,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
chloroethane,-0.109854,"['c3', 'c3', 'cl', 'hc', 'hc', 'hc', 'h1', 'h1']"
2_ethylpyrazine,-0.858447,"['ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'nb', 'h4', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc']"
piperazine,-1.501900,"['c3', 'c3', 'c3', 'c3', 'n3', 'n3', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'hn', 'hn']"
ethylamine,-0.299972,"['c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']"
111_trichloroethane,-0.104085,"['c3', 'c3', 'cl', 'cl', 'cl', 'hc', 'hc', 'hc']"
iodoethane,0.595669,"['c3', 'c3', 'i', 'hc', 'hc', 'hc', 'h1', 'h1']"
benzonitrile,-0.926153,"['cg', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'n1', 'ha', 'ha', 'ha', 'ha', 'ha']"
hexan_1_ol,-0.722846,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
methanethiol,1.216909,"['c3', 'sh', 'h1', 'h1', 'h1', 'hs']"
pent_1_ene,0.982678,"['c2', 'c2', 'c3', 'c3', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
35_dimethylpyridine,-2.281610,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
tetrahydropyran,-1.989565,"['c3', 'c3', 'c3', 'c3', 'c3', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'h1']"
trichloroethene,-0.390038,"['c2', 'c2', 'cl', 'cl', 'cl', 'h4']"
fluorobenzene,0.408521,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'f', 'ha', 'ha', 'ha', 'ha', 'ha']"
cyclopropane,0.031283,"['cx', 'cx', 'cx', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
methyl_formate,1.436825,"['c', 'c3', 'o', 'os', 'h5', 'h1', 'h1', 'h1']"
propanone,-0.217459,"['c', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
toluene,0.180618,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'ha', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']"
anisole,0.237670,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'os', 'ha', 'ha', 'ha', 'ha', 'ha', 'h1', 'h1', 'h1']"
ethyl_acetate,0.388838,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
propene,0.905131,"['c2', 'c2', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']"
methyl_propyl_ether,-0.505486,"['c3', 'c3', 'c3', 'c3', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc', 'h1', 'h1']"
ethene,1.037786,"['c2', 'c2', 'ha', 'ha', 'ha', 'ha']"
12_ethanediol,0.257511,"['c3', 'c3', 'oh', 'oh', 'h1', 'h1', 'h1', 'h1', 'ho', 'ho']"
1_iodopropane,0.448716,"['c3', 'c3', 'c3', 'i', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
4_ethylpyridine,-1.928214,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc']"
heptan_1_ol,-0.810106,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
1112_tetrachloroethane,-0.594008,"['c3', 'c3', 'cl', 'cl', 'cl', 'cl', 'h1', 'h1']"
pentan_2_one,-0.440805,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
heptan_2_one,-0.223272,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
methane,1.343030,"['c3', 'hc', 'hc', 'hc', 'hc']"
benzene,0.443066,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha']"
methyl_acetate,0.960734,"['c', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1']"
trimethyl_phosphate,0.626423,"['c3', 'c3', 'c3', 'o', 'os', 'os', 'os', 'p5', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']"
methyl_hexanoate,0.662050,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc', 'hc', 'hc', 'hc']"
N_methylaniline,0.346665,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nh', 'ha', 'ha', 'ha', 'ha', 'ha', 'h1', 'h1', 'h1', 'hn']"
4_methylpyridine,-1.933988,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc']"
n_butylamine,-0.010258,"['c3', 'c3', 'c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']"
2_nitropropane,-1.688216,"['c3', 'c3', 'c3', 'no', 'o', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
hydrazine,5.283989,"['n3', 'n3', 'hn', 'hn', 'hn', 'hn']"
n_butyl_acetate,0.841391,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
dimethylamine,-0.873935,"['c3', 'c3', 'n3', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'hn']"
112_trichloroethane,0.126103,"['c3', 'c3', 'cl', 'cl', 'cl', 'h1', 'h1', 'h2']"
2_bromopropane,-0.202884,"['c3', 'c3', 'c3', 'br', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
thiophene,-0.277822,"['cc', 'cc', 'cd', 'cd', 'ss', 'ha', 'ha', 'h4', 'h4']"
pyrrolidine,-2.405967,"['c3', 'c3', 'c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'h1', 'hn']"
pentan_3_one,-0.641069,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
o_cresol,-0.226383,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']"
2_methoxyethanol,0.215578,"['c3', 'c3', 'c3', 'oh', 'os', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'ho']"
dimethyl_disulfide,-2.061946,"['c3', 'c3', 'ss', 'ss', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']"
acetonitrile,-0.933844,"['c1', 'c3', 'n1', 'hc', 'hc', 'hc']"
methyl_propanoate,0.768665,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc']"
imidazole,-2.254400,"['cc', 'cd', 'cd', 'nc', 'na', 'h4', 'h4', 'h5', 'hn']"
but_1_ene,0.831780,"['c2', 'c2', 'c3', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc']"
butanenitrile,-1.355953,"['c1', 'c3', 'c3', 'c3', 'n1', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
m_xylene,-0.036091,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
4_bromotoluene,-0.471265,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'br', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']"
1_chloropropane,-0.056955,"['c3', 'c3', 'c3', 'cl', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
12_dichlorobenzene,-0.432382,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'cl', 'cl', 'ha', 'ha', 'ha', 'ha']"
