14_dioxane,-4.680000,-5.531299,-4.386876,-1.144423
butanone,-4.320000,-5.910128,-4.637913,-1.272215
chlorobenzene,-3.300000,-3.653653,-2.178496,-1.475158
ethanol,-5.040000,-6.761812,-6.205771,-0.556041
n_octane,-4.230000,-2.939166,-0.049846,-2.889320
nitromethane,-4.340000,-3.262131,-2.785924,-0.476208
toluene,-4.570000,-3.798368,-2.188452,-1.609916
Li,-123.805000,-124.415373,-126.242843,1.827470
Na,-97.992000,-97.266869,-98.986146,1.719277
K,-80.210000,-80.023013,-81.608122,1.585108
Rb,-74.809000,-75.614519,-77.149715,1.535196
Cs,-69.551000,-69.803104,-71.257177,1.454073
Cl,-67.830000,-64.606725,-65.745668,1.138943
Br,-62.094000,-62.466124,-63.541626,1.075502
I,-54.995000,-57.528387,-58.423961,0.895574
