,Compound,acetonitrile,benzene,butanol,butylacetate,carbontet,chlorofom,chloroform,cyclohexane,dibuthylether,dichloroethane_ions,diethylether,dimethylformamide_ions,dimethylofrmamide,dimethylsulfoxide,ethanol,hexadecane,hexane,isopropanol,methanol,nitrobenzene,nitromethane,octanol,propanol,propanone,tetrahydrofuran,toluene,water,xylene,12dichloroethane,19decadiene
0,1_bromo_2_chloroethane,-77.199,-4.55,-3.39,,-4.5,,-4.64,-4.19,,-8.55,,-81.023,,-3.95,-74.809,-5.62,-3.96,-4.07,-6.35,-6.47,-76.004,-11.35,-73.98,,-4.25,-2.65,-1.95,-3.2,,
1,1_bromo_2_methylpropane,-62.62,-2.66,-96.57,,-2.53,,-3.17,-5.67,,-6.57,,-61.185,,-10.89,-67.83,-2.88,-5.82,-4.0,-3.47,-63.576,-63.647,-3.07,-66.61,,-4.54,-6.38,-0.03,-6.26,,
2,1_bromobutane,-54.015,-8.02,-7.17,,-7.24,,-9.74,-5.75,,-6.79,,-53.298,,-14.36,-54.995,-5.16,-5.64,-4.84,-76.243,-74.092,-53.561,-5.62,-53.51,,-5.09,-6.75,-0.4,-6.74,,
3,1_bromoheptane,-97.753,-6.47,-4.12,,-6.39,,-7.24,-2.42,,-95.33,,-103.728,,-10.56,-97.992,-5.51,-5.75,-4.5,-69.551,-78.633,-93.786,-5.46,-97.28,,-4.56,-4.33,0.34,-4.72,,
4,1_bromohexane,-79.828,-3.7,-7.66,,-2.96,,-7.53,-4.97,,-4.34,,-86.52,,-104.54,-80.21,-4.99,-4.99,-4.49,-56.405,-65.727,-80.449,-5.0,-79.86,,-5.39,-4.57,0.18,-3.26,,
5,1_bromooctane,-59.034,-6.64,-73.19,,-5.67,,-5.84,-5.23,,-5.12,,-57.839,,-2.1,-62.094,-2.77,-5.46,-4.38,-99.426,-62.141,-59.512,-5.02,-61.17,,-5.17,-3.59,0.52,-4.23,,
6,1_bromopentane,-120.459,-6.17,-6.03,,-5.35,,-6.99,-2.73,,-119.96,,-128.824,,-130.2,-3.3,-5.88,-3.62,,-81.74,-93.212,-114.962,-8.84,-123.7,,-5.5,-4.27,-0.1,-5.4,,
7,1_bromopropane,-4.73,-4.75,-4.5,,-4.09,,-4.32,-3.03,,-5.93,,-4.56,,-4.39,-4.32,-4.92,-4.38,,-63.815,-7.29,-4.72,-2.84,-4.15,,,-5.57,-0.56,-5.3,,
8,1_chloro_222_trifluoroethane,-5.62,-3.79,-4.73,,-5.85,,-6.07,-5.29,,-5.83,,-5.66,,-1.73,-4.34,-5.81,-5.66,,-125.478,-7.94,-5.38,-6.38,-4.04,,,-5.24,0.06,-3.57,,
9,1_chlorobutane,-4.43,-4.46,-3.93,,-5.21,,-4.42,-5.1,,-72.63,,-5.23,,-81.118,-5.04,-4.91,-2.6,,-4.61,-2.93,-4.16,-7.75,-5.01,,,-3.71,-0.16,-7.18,,
10,1_chloroheptane,-71.702,-4.02,-60.75,,-4.09,,-5.43,-3.48,,-3.85,,-75.765,,-5.75,-69.551,-3.38,-3.48,,-0.59,-8.13,-71.797,-3.81,-5.29,,,-6.12,0.29,-5.85,,
11,1_chlorohexane,-3.57,-5.78,-79.37,,-5.59,,-4.42,-4.94,,-7.75,,-3.77,,-5.66,-4.23,-2.89,-4.86,,-5.08,-69.551,-3.15,-2.9,-68.93,,,-3.75,0.0,-3.93,,
