Compound,methanol,ethanol,propanol,butanol,dimethylofrmamide,acetonitrile,dimethylsulfoxide,propanone,cyclohexane,diethylether,dibuthylether,octanol,benzene,chlorofom,12dichloroethane,19decadiene,butylacetate,water,nitrobenzene,nitromethane
1_bromo_2_chloroethane,,,,,,,,,,,,,,,,,,-1.95,,
1_bromo_2_methylpropane,,,,,,,,,,,,,,,,,,-0.03,,
1_bromobutane,,,,,,,,,,,,,,,,,,-0.4,,
1_bromoheptane,,,,,,,,,,,,,,,,,,0.34,,
1_bromohexane,,,,,,,,,,,,,,,,,,0.18,,
1_bromooctane,,,,,,,,,,,,,,,,,,0.52,,
1_bromopentane,,,,,,,,,,,,,,,,,,-0.1,,
1_bromopropane,,,,,,,,,,,,,,,,,,-0.56,,
1_chloro_222_trifluoroethane,,,,,,,,,,,,,,,,,,0.06,,
1_chlorobutane,,,,,,,,,,,,,,,,,,-0.16,,
1_chloroheptane,,,,,,,,,,,,,,,,,,0.29,,
1_chlorohexane,,,,,,,,,,,,,,,,,,0,,
1_chloropentane,,,,,,,,,,,,,,,,,,-0.07,,
1_chloropropane,,,,,,,,,,,,-3.11,,-3.68,-3.69,,,-0.33,,
1_ethylnaphthalene,,,,,,,,,,,,,,,,,,-2.4,,
1_iodobutane,,,,,,,,,,,,-4.44,,,,,,-0.25,,
1_iodoheptane,,,,,,,,,,,,,,,,,,0.27,,
1_iodohexane,,,,,,,,,,,,,,,,,,0.08,,
1_iodopentane,,,,,,,,,,,,,,,,,,-0.14,,
1_iodopropane,,,,,,,,,,,,-3.99,,,,,,-0.53,,
1_methyl_imidazole,,,,,,,,,,,,,,,,,,-8.41,,
1_methyl_pyrrole,,,,,,,,,,,,,,,,,,-2.89,,
1_methylcyclohexene,,,,,,,,,,,,,,,,,,0.67,,
1_methylnaphthalene,,,,,,,,,,,,,,,,,,-2.44,,
1_naphthol,,,,,,,,,,,,,,,,,,-7.67,,
1_naphthylamine,,,,,,,,,-8.99,,,-10.34,,-10.82,-11.04,,-10.94,-7.28,,
1_nitrobutane,,,,,,,,,,,,,,,,,,-3.09,,
1_nitropentane,,,,,,,,,,,,,,,,,,-2.82,,
1_nitropropane,,,,,,,,,,,,,,,,,,-3.34,,
11_diacetoxyethane,,,,,,,,,,,,,,,,,,-4.97,,
11_dichloroethane,,,,,,,,,,,,,,,,,,-0.84,,
11_dichloroethene,,-3.24,,,,,,,,,,,,,,,,0.25,,
11_diethoxyethane,,,,,,,,,,,,,,,,,,-3.28,,
11_difluoroethane,,,,,,,,,,,,,,,,,,-0.11,,
111_trichloroethane,,,,,,,,,,,,,,,,,,-0.19,,
111_trifluoro_222_trimethoxyethane,,,,,,,,,,,,,,,,,,-0.8,,
111_trifluoropropan_2_ol,,,,,,,,,,,,,,,,,,-4.16,,
111_trimethoxyethane,,,,,,,,,,,,,,,,,,-4.42,,
1112_tetrachloroethane,,,,,,,,,,,,,,,,,,-1.28,,
112_trichloro_122_trifluoroethane,,,,,,,,,,,,,,,,,,1.77,,
112_trichloroethane,,,,,,,,,,,,,,,,,,-1.99,,
1122_tetrachloroethane,,,,,,,,,,,,,,,,,,-2.47,,
12_diacetoxyethane,,,,,,,,,,,,,,,,,,-6.34,,
12_dibromoethane,,,,,,,,,,,,,,,,,,-2.33,,
12_dichlorobenzene,,,,,,,,,,,,,,,,,,-1.36,,
12_dichloroethane,,,,,,,,,,-4.45,-4.16,-3.81,,-4.69,-4.79,,,-1.79,,
12_dichloropropane,,,,,,,,,,,,,,,,,,-1.27,,
12_diethoxyethane,,,,,,,,,,,,,,,,,,-3.54,,
12_dimethoxyethane,,,,,,,,,,,,,,,,,,-4.84,,
12_ethanediol,,,,,,,,,,,,,,,,,,-9.3,,
123_trichlorobenzene,,,,,,,,,,,,,,,,,,-1.24,,
123_trimethylbenzene,,,,,,,,,,,,,,,,,,-1.21,,
1234_tetrachlorobenzene,,,,,,,,,,,,,,,,,,-1.34,,
1235_tetrachlorobenzene,,,,,,,,,,,,,,,,,,-1.62,,
124_trichlorobenzene,,,,,,,,,,,,,,,,,,-1.12,,
124_trimethylbenzene,,,,,,,,,,,,,,,,,,-0.86,,
1245_tetrachlorobenzene,,,,,,,,,,,,-7.61,,,,,,-1.34,,
13_dichlorobenzene,,,,,,,,,,,,,,,,,,-0.98,,
13_dichloropropane,,,,,,,,,,,,,,,,,,-1.89,,
13_dimethylnaphthalene,,,,,,,,,,,,,,,,,,-2.47,,
135_trichlorobenzene,,,,,,,,,,,,,,,,,,-0.78,,
135_trimethylbenzene,,,,,,,,,,,,,,,,,,-0.9,,
14_dichlorobenzene,-5.78,,,,-7.75,,,,,,,-5.7,,-6.31,,,,-1.01,,
14_dichlorobutane,,,,,,,,,,,,,,,,,,-2.32,,
14_dimethyl_piperazine,,,,,,,,,,,,,,,,,,-7.58,,
14_dimethylnaphthalene,,,,,,,,,,,,,,,,,,-2.82,,
14_dioxane,,,,,,,,,,,,,,,,,,-5.06,,-5.46
2_bromo_2_methylpropane,,,,,,,,,,,,,,,,,,0.84,,
2_bromopropane,,,,,,,,,,,,,,,,,,-0.48,,
2_butoxyethanol,,,,,,,,,,,,,,,,,,-6.25,,
2_chloro_111_trimethoxyethane,,,,,,,,,,,,,,,,,,-4.59,,
2_chloro_2_methylpropane,,,,,,,,,,,,,,,,,,1.09,,
2_chloroaniline,,,,,,,,,,,-7.61,,,,-8.37,,,-4.91,,
2_chlorobutane,,,,,,,,,,,,,,,,,,0,,
2_chlorophenol,,,,,,,,,-5.73,-7.34,-7.03,-7.48,,-6.4,,,-7.81,-4.55,,
2_chloropropane,,,,,,,,,,,,-2.84,,,,,,-0.25,,
2_chloropyridine,,,,,,,,,,,,,,,,,,-4.39,,
2_chlorotoluene,,,,,,,,,,,,-5.8,,,,,,-1.14,,
2_ethoxyethanol,,,,,,,,,,,,,,,,,,-6.69,,
2_ethylpyrazine,,,,,,,,,,,,,,,,,,-5.45,,
2_ethylpyridine,,,,,,,,,,,,,,,,,,-4.33,,
2_ethyltoluene,,,,,,,,,,,,,,,,,,-1.04,,
2_fluorophenol,,,,,,,,,,,,-7.62,,-6.07,,,,-5.29,,
2_iodophenol,,,,,,,,,,,,-9.81,,-8.88,,,-9.99,-6.2,,
2_iodopropane,,,,,,,,,,,,,,,,,,-0.46,,
2_isobutylpyrazine,,,,,,,,,,,,,,,,,,-5.04,,
2_methoxy_111_trimethoxyethane,,,,,,,,,,,,,,,,,,-5.73,,
2_methoxyaniline,,,,,,,,,,,,,,,,,,-6.12,,
2_methoxyethanamine,,,,,,,,,,,,,,,,,,-6.55,,
2_methoxyethanol,,,,,,,,,,,,,,,,,,-6.76,,
2_methoxyphenol,,,,,,,,,,,,,,,,,,-5.57,,
2_methyl_but_2_ene,,,,,,,,,,,,,,,,,,1.31,,
2_methylbut_2_ene,,,,,,,,,,,,,,,,,,1.31,,
2_methylbuta_13_diene,,,,,,,,,,,,,,,,,,0.68,,
2_methylbutan_1_ol,,,,,,,,,,,,,,,,,,-4.42,,
2_methylbutan_2_ol,,,,,,,,,,,,,,,,,,-4.43,,
2_methylbutane,,,,,,,,,,,,,,,,,,2.38,,
2_methylhexane,,,,,,,,,,,,,,,,,,2.93,,
2_methylpent_1_ene,,,,,,,,,,,,,,,,,,1.47,,
2_methylpentan_2_ol,,,,,,,,,,,,,,,,,,-3.92,,
2_methylpentan_3_ol,,,,,,,,,,,,,,,,,,-3.88,,
2_methylpentane,,,,,,,,,,,,,,,,,,2.51,,
2_methylpropan_1_ol,,,,,,,,,,,,,,,,,,-4.5,,
2_methylpropan_2_ol,,,,,,,,,,,,,,,,,,-4.47,,
2_methylpropane,,,,,,,,,,,,,,,,,,2.32,,
2_methylpropene,,,,,,,,,,,,,,,,,,1.16,,
2_methylpyrazine,,,,,,,,,,,,,,,,,,-5.51,,
2_methylpyridine,,,,,,,,,-4.94,,,,-5.82,,,,,-4.63,,
2_methyltetrahydrofuran,,,,,,,,,,,,,,,,,,-3.3,,
2_methylthiophene,,,,,,,,,,,,,,,,,,-1.38,,
2_naphthol,-10.14,,,,,-10.92,,,-8.5,-10.52,-12.16,-11.78,-10.48,-10.48,-10.97,,-12.35,-8.11,,
2_naphthylamine,,,,,,,,,-9.12,,-10.63,-10.57,,-11.14,-11.24,,-11.17,-7.47,,
2_nitroaniline,,,,,,,,,,,,,,,,,,-7.37,,
2_nitrophenol,,,,,,,,,,,,,,,,,,-4.58,,
2_nitropropane,,,,,,,,,,,,,,,,,,-3.13,,
2_nitrotoluene,,,,,,,,,,,,,,,,,,-3.58,,
2_phenylethanol,,,,,,,,,,,,,,,,,,-6.79,,
2_propoxyethanol,,,,,,,,,,,,,,,,,,-6.4,,
22_dimethylbutane,,,,,,,,,,,,,,,,,,2.51,,
22_dimethylpentane,,,,,,,,,,,,,,,,,,2.88,,
22_dimethylpropane,,,,,,,,,,,,,,,,,,2.51,,
222_trifluoroethanol,-5.72,,,,-6.93,,,,,,,-4.87,,,,,,-4.31,,
224_trimethylpentane,,,,,,,,,,,,,,,,,,2.89,,
225_trimethylhexane,,,,,,,,,,,,,,,,,,2.93,,
23_dimethylbuta_13_diene,,,,,,,,,,,,,,,,,,0.4,,
23_dimethylbutane,,,,,,,,,,,,,,,,,,2.34,,
23_dimethylnaphthalene,,,,,,,,,,,,,,,,,,-2.78,,
23_dimethylpentane,,,,,,,,,,,,,,,,,,2.52,,
23_dimethylphenol,,,,,,,,,,,,,,,,,,-6.16,,
23_dimethylpyridine,,,,,,,,,,,,,,,,,,-4.82,,
234_trimethylpentane,,,,,,,,,,,,,,,,,,2.56,,
24_dimethylpentan_3_one,,,,,,,,,,,,,,,,,,-2.74,,
24_dimethylpentane,,,,,,,,,,,,,,,,,,2.83,,
24_dimethylphenol,,,,,,,,,,,,,,,,,,-6.01,,
24_dimethylpyridine,,,,,,,,,,,,,,,,,,-4.86,,
