methane,158.38,0.43,1.17,1.10,1.00
ethanamide,210.58,-7.57,-7.87,-7.82,-7.77
methanethiol,182,-1.60,-2.42,-2.38,-2.26
n_butane,264.21,-2.06,0.01,-0.18,-0.57
2_methylpropane,258.32,-1.99,0.12,-0.16,-0.59
methyl_ethyl_sulfide,260.26,-2.88,-3.23,-3.42,-3.44
toluene,290.91,-4.16,-3.66,-3.77,-4.06
methanol,164.25,-3.00,-3.39,-3.35,-3.30
ethanol,205.15,-3.66,-3.65,-3.64,-3.61
3_methyl_1h_indole,332.07,-8.32,-8.06,-8.20,-8.48
p_cresol,299.99,-7.53,-7.05,-7.09,-7.30
propane,231.63,-1.23,0.40,0.20,-0.08
