1_nitropropane,-5.25,154.175
14_dioxane,-4.91,146.316
33_dimethylbutan_2_one,-5,182.894
4_bromophenol,-8.7,177.412
acetic_acid,-4,111.87
aniline,-6.69,159.079
butan_1_ol,-4.31,158.978
butanoic_acid,-5.24,160.091
butanone,-4.27,148.104
diethylamine,-3.75,157.896
dimethylamine,-2.68,115.134
ethanol,-3.33,110.185
ethyl_acetate,-4.41,162.605
ethylamine,-2.67,115.505
heptan_1_ol,-6.75,231.66
heptan_2_one,-6.3,221.323
hexan_1_ol,-6.12,207.282
hexan_2_one,-5.6,196.934
hexanoic_acid,-6.97,208.827
methanol,-2.18,84.309
methyl_acetate,-3.81,136.765
methyl_benzoate,-7.96,202.517
methyl_hexanoate,-6.38,233.686
methyl_pentanoate,-5.65,209.323
methyl_propanoate,-4.62,160.493
methylamine,-2.65,90.362
n_butyl_acetate,-5.57,211.484
n_butylamine,-4.33,164.243
n_octane,-5.38,243.846
n_propyl_acetate,-5,187.055
n_propylamine,-3.51,139.805
nitromethane,-4.31,106.242
o_cresol,-7.43,175.327
p_cresol,-7.56,177.686
pentan_1_ol,-5.17,182.924
pentan_2_one,-5.02,172.595
pentanoic_acid,-5.89,184.471
phenol,-6.93,153.746
propan_1_ol,-3.71,134.556
propanoic_acid,-4.57,135.63
propanone,-3.59,124.665
pyridine,-5.13,136.379
toluene,-5.12,166.45
trimethylamine,-2.71,135.848
