methane,1.685,1.52,1.666,1.66,1.53,2.237,1.941,2.249,2.54,1.936,2.03
propane,0.846,0.086,0.43,0.50,0.45,2.631,1.991,2.55,2.56,1.984,2.2
n_butane,0.292,-0.543,-0.626,-0.40,0.17,2.744,2.151,2.679,2.54,2.151,2.28
2_methylpropane,-0.022,-0.504,-0.76,-0.06,0.38,2.392,2.28,2.71,2.74,2.271,2.27
toluene,-3.757,-4.606,-3.807,-4.50,-4.06,-0.409,-0.76,-0.65,-0.71,-0.765,-0.45
methanol,-4.309,-3.891,-3.881,-5.05,-7.57,-4.809,-5.06,-4.711,-3.48,-5.067,-5.51
ethanol,-5,-3.951,-4.594,-5.19,-8.55,-4.67,-4.88,-4.469,-3.45,-4.876,-5.07
p_cresol,-9.472,-8.97,-8.891,-10.57,-15.37,-5.041,-6.109,-5.06,-5.36,-6.119,-6.26
methanethiol,-1.157,-1.802,-1.312,-1.44,-1.60,-0.674,-1.24,-0.43,-0.26,-1.243,-1.45
methyl_ethyl_sulfide,-2.555,-2.997,-2.971,-2.79,-3.27,-0.174,-1.479,-0.069,0.34,-1.482,-0.03
ethanamide,-11.064,-9.828,-10.406,-11.33,-16.41,-8.896,-9.68,-8.521,-8.62,-9.68,-10.58
3_methyl_1h_indole,-9.94,-10.404,-10.27,-11.16,-14.88,-4.223,-5.88,-4.14,-6.55,-5.88,-6.01
