methane,2.20,0.32,1.02,0.97,0.83,2.51,0.43,1.17,1.10,1.00,2.75,0.53,1.29,1.22,1.10,-0.52,-0.75,-0.33,-0.33,-0.46,-3.00,-1.18,-1.50,-1.43,-1.50
propane,2.43,-1.50,0.13,-0.03,-0.31,2.95,-1.23,0.40,0.20,-0.08,3.30,-1.02,0.65,0.44,0.14,-1.82,-3.78,-2.41,-2.35,-2.54,-4.76,-2.61,-2.87,-2.61,-2.48
n_butane,2.55,-2.36,-0.23,-0.53,-0.86,3.12,-2.06,0.01,-0.18,-0.57,3.55,-1.74,0.36,0.14,-0.28,-2.35,-5.41,-3.26,-3.78,-3.78,-5.47,-3.32,-3.26,-3.58,-3.19
2_methylpropane,2.50,-2.27,-0.23,-0.57,-0.78,3.16,-1.99,0.12,-0.16,-0.59,3.48,1.72,0.31,0.04,-0.29,-2.22,-4.95,-2.87,-3.45,-3.26,-5.34,-3.00,-3.00,-3.32,-2.67
toluene,-0.78,-4.51,-4.19,-4.26,-4.48,-0.04,-4.16,-3.66,-3.77,-4.06,0.46,-3.86,-3.18,-3.36,-3.54,-6.84,-7.76,-9.19,-8.73,-9.26,-6.78,-3.58,-5.54,-4.95,-5.15
methanol,-4.97,-3.26,-3.84,-3.75,-3.70,-4.48,-3.00,-3.39,-3.35,-3.30,-4.00,-2.62,-3.04,-3.02,-2.87,-9.71,-6.45,-7.76,-7.37,-7.76,-5.28,-3.45,-4.37,-3.98,-4.50
ethanol,-4.93,-4.29,-4.19,-4.13,-4.12,-4.29,-3.66,-3.65,-3.64,-3.61,-3.66,-3.25,-3.26,-3.24,-3.12,-11.21,-9.32,-8.73,-8.47,-9.06,-6.97,-5.67,-5.08,-4.82,-5.48
p_cresol,-5.44,-8.41,-7.83,-7.83,-8.08,-4.67,-7.53,-7.05,-7.09,7.30,-4.00,-6.83,-6.35,-6.50,-6.72,-12.58,-16.16,-15.12,-14.34,-14.73,-7.89,-8.67,-8.08,-7.23,-7.43
methanethiol,-1.58,-1.74,-2.71,-2.68,-2.68,-4.67,-1.60,-2.42,-2.38,-2.26,-4.00,-1.32,-2.05,-1.93,-2.01,-5.02,-3.91,-6.00,-6.52,-5.93,-3.78,-2.28,-3.58,-4.11,-3.65
methyl_ethyl_sulfide,-1.43,-3.11,-3.73,-3.75,-4.03,-0.92,-2.88,-3.23,-3.42,-3.44,-0.48,-2.74,-2.87,-2.98,-3.01,-6.19,-4.89,-7.95,-7.69,-9.06,-5.21,-2.02,-4.69,-4.24,-5.61
ethanamide,-8.65,-8.21,-8.49,-8.46,-8.41,-8.09,-7.57,-7.87,-7.82,-7.77,-7.55,-7.06,-7.30,-7.29,-7.23,-14.08,-13.88,-14.40,-14.21,-14.21,-6.00,-6.32,-6.52,-6.39,-6.45
3_methyl_1h_indole,-4.76,-9.18,-8.92,-8.98,-9.25,-3.81,-8.32,-8.06,-8.20,-8.48,-3.14,-7.72,-7.22,-7.48,-7.63,-12.71,-16.29,-17.34,-16.43,-17.34,-8.86,-8.02,-9.32,-8.28,-8.86
