12_diacetoxyethane,-6.34,-16.59,10.25,96.85
12_dimethoxyethane,-4.84,-13.58,8.74,57.84
12_ethanediol,-9.30,-16.68,7.38,27.22
14_dioxane,-5.06,-10.87,5.81,30.54
2_butoxyethanol,-6.25,-17.00,10.75,92.90
2_ethoxyethanol,-6.69,-15.26,8.57,62.76
2_methoxyethanol,-6.76,-13.85,7.09,44.62
2_methylbutan_2_ol,-4.43,-15.77,11.34,96.80
2_methylpropan_1_ol,-4.50,-13.79,9.29,78.87
2_methylpropan_2_ol,-4.47,-14.72,10.25,84.37
2_methylpropane,2.32,-5.18,7.50,88.43
2_methylpyridine,-4.63,-12.45,7.82,64.53
2_propoxyethanol,-6.40,-16.12,9.72,78.15
22_dimethylpropane,2.51,-5.40,7.91,117.11
24_dimethylpentan_3_one,-2.74,-12.07,9.33,58.10
26_dimethylpyridine,-4.59,-14.21,9.62,75.55
3_methyl_1h_indole,-5.88,-14.46,8.58,99.10
3_methylpyridine,-4.77,-12.67,7.90,67.07
3_methylpyridine,-4.77,-11.88,7.11,67.07
3_nitrophenol,-9.62,-15.58,5.96,59.54
4_methylpentan_2_one,-3.05,-10.82,7.77,66.92
4_methylpyridine,-4.93,-12.71,7.78,66.13
4_nitrophenol,-10.64,-15.80,5.16,55.74
acenaphthene,-3.15,-11.26,8.11,93.09
acetic_acid,-6.69,-12.02,5.33,23.54
anthracene,-3.95,-13.40,9.45,47.97
benzene,-0.86,-6.98,6.12,69.31
bromomethane,-0.82,-5.50,4.68,47.99
but_1_ene,1.38,-5.35,6.73,93.21
buta_13_diene,0.61,-5.85,6.46,138.79
butan_1_ol,-4.72,-14.15,9.43,80.07
butan_2_ol,-4.62,-14.41,9.79,81.26
butanoic_acid,-6.35,-13.62,7.27,52.87
butanone,-3.71,-10.32,6.61,55.86
chlorodifluoromethane,-0.50,-7.43,6.93,83.60
chloroethylene,-0.59,-5.74,5.15,30.90
chlorofluoromethane,-0.77,-4.59,3.82,36.85
chloromethane,-0.55,-4.93,4.38,44.05
cycloheptanol,-5.48,-17.25,11.77,105.16
cyclohexane,1.23,-7.31,8.54,97.99
cyclohexanol,-5.46,-16.30,10.84,81.26
cyclopentanol,-5.49,-15.60,10.11,88.43
cyclopropane,0.75,-4.97,5.72,74.09
di_n_butylamine,-3.24,-17.54,14.30,94.79
di_n_propyl_sulfide,-1.28,-10.79,9.51,116.40
di_n_propylamine,-3.65,-16.66,13.01,95.43
diethyl_disulfide,-1.64,-9.19,7.55,86.76
diethyl_sulfide,-1.46,-9.01,7.55,76.48
diethylamine,-4.07,-14.94,10.87,88.65
dimethyl_disulfide,-1.83,-7.69,5.86,68.36
dimethyl_sulfide,-1.61,-6.92,5.31,54.49
dimethyl_sulfoxide,-8.71,-16.59,7.88,23.11
ethanamide,-9.71,-16.27,6.56,22.61
ethane,1.83,-4.04,5.87,66.92
ethanol,-5.00,-11.97,6.97,47.56
ethene,1.28,-3.34,4.62,57.36
ethyl_acetate,-2.94,-10.30,7.36,67.64
ethylbenzene,-0.79,-9.01,8.22,88.43
ethyne,-0.05,-2.89,2.84,35.85
fluoromethane,-0.22,-3.73,3.51,36.33
heptan_1_ol,-4.21,-16.54,12.33,124.28
heptan_2_one,-3.04,-13.00,9.96,64.01
heptan_4_one,-2.92,-13.80,10.88,58.05
hexan_1_ol,-4.40,-15.68,11.28,109.94
hexan_3_ol,-4.06,-16.03,11.97,112.33
iodomethane,-0.89,-5.59,4.70,99.81
m_xylene,-0.83,-8.60,7.77,98.09
methane,1.99,-2.53,4.52,52.58
methanol,-5.10,-10.19,5.09,27.25
methyl_acetate,-3.13,-9.56,6.43,49.02
methyl_ethyl_sulfide,-1.50,-7.97,6.47,39.80
morpholine,-7.17,-16.00,8.83,33.17
n_butane,2.07,-5.59,7.66,92.02
n_butylacetamide,-9.31,-20.84,11.53,85.44
n_butylamine,-4.24,-13.51,9.27,72.54
n_hexane,2.48,-6.95,9.43,117.11
n_hexylamine,-3.95,-15.09,11.14,104.95
N_methylacetamide,-10.00,-16.92,6.92,40.03
N_methylmorpholine,-6.32,-15.81,9.49,47.83
N_methylpiperidine,-3.88,-15.12,11.24,96.65
n_pentane,2.32,-6.28,8.60,105.16
n_pentylamine,-4.09,-14.25,10.16,89.44
n_propanethiol,-1.06,-6.62,5.56,78.87
n_propylamine,-4.39,-12.72,8.33,55.26
n_propylbenzene,-0.53,-9.89,9.36,107.55
naphthalene,-2.40,-10.60,8.20,82.10
NN_dimethylformamide,-7.81,-14.51,6.70,32.55
octan_1_ol,-4.09,-17.18,13.09,136.23
p_cresol,-6.13,-14.13,8.00,62.02
p_cresol,-6.13,-14.13,8.00,62.02
p_xylene,-0.80,-8.63,7.83,80.09
pentan_1_ol,-4.57,-14.94,10.37,96.08
pentan_3_ol,-4.35,-15.37,11.02,97.99
pentan_3_one,-3.41,-11.22,7.81,71.99
phenol,-6.61,-13.01,6.40,50.53
piperidine,-5.11,-15.03,9.92,76.12
prop_2_en_1_ol,-5.03,-12.40,7.37,62.14
propan_1_ol,-4.85,-13.18,8.33,64.05
propan_2_ol,-4.74,-13.38,8.64,65.01
propane,1.96,-4.87,6.83,78.87
propanoic_acid,-6.46,-12.90,6.44,38.29
propanone,-3.80,-9.17,5.37,39.77
propene,1.32,-4.56,5.88,66.92
propyne,-0.48,-4.23,3.75,79.54
pyrene,-4.52,-14.60,10.08,129.97
pyridine,-4.69,-11.31,6.62,54.40
pyrrolidine,-5.48,-14.59,9.11,60.33
tetrafluoromethane,3.12,-3.00,6.12,90.75
tetrahydrofuran,-3.47,-10.70,7.23,50.29
tetrahydropyran,-3.12,-11.08,7.96,63.60
toluene,-0.89,-8.08,7.19,81.26
