solute,es_mobley,cav_mobley,disp_mobley,np_mobley,expt,es_SLIC,np_SLIC
1_bromo_2_chloroethane,-1.77,13.21,-11.42,1.79,-1.95,-1.99,2.26
1_bromo_2_methylpropane,-0.95,15.1,-12.91,2.19,-0.03,-1.29,2.33
1_bromobutane,-0.97,15.74,-13.09,2.65,-0.4,-1.35,2.36
1_bromoheptane,-0.97,20.82,-18.19,2.63,0.34,-1.34,2.58
1_bromohexane,-0.97,19.5,-16.75,2.75,0.18,-1.32,2.51
1_bromooctane,-0.97,23.68,-20.79,2.89,0.52,-1.34,2.65
1_bromopentane,-0.96,17.49,-15.05,2.44,-0.1,-1.32,2.43
1_bromopropane,-0.98,13.75,-11.48,2.27,-0.56,-1.35,2.28
1_chloro_222_trifluoroethane,-2.27,12.23,-9.8,2.43,0.06,-2.92,2.25
1_chlorobutane,-1.22,14.45,-12.24,2.21,-0.16,-1.49,2.35
1_chloroheptane,-1.21,20.2,-17.46,2.74,0.29,-1.49,2.57
1_chlorohexane,-1.23,18.26,-15.8,2.46,0,-1.53,2.48
1_chloropentane,-1.22,16.46,-14.06,2.4,-0.07,-1.54,2.41
1_chloropropane,-1.25,12.52,-10.35,2.17,-0.33,-1.44,2.26
1_ethylnaphthalene,-4.61,19.94,-18.33,1.61,-2.4,-4.48,2.56
1_iodobutane,-1.83,16.17,-13.76,2.41,-0.25,-2.46,2.38
1_iodoheptane,-1.8,22.85,-19.86,2.99,0.27,-2.42,2.60
1_iodohexane,-1.81,19.81,-17.34,2.47,0.08,-2.41,2.53
1_iodopentane,-1.82,18.22,-15.74,2.48,-0.14,-2.43,2.45
1_iodopropane,-1.87,14.03,-12.16,1.87,-0.53,-2.47,2.30
1_methyl_imidazole,-7.06,12.67,-11.94,0.73,-8.41,-7.55,2.27
1_methyl_pyrrole,-3.9,13.03,-11.72,1.31,-2.89,-4.13,2.30
1_methylcyclohexene,-0.66,16.24,-14.25,1.99,0.67,-0.72,2.41
1_methylnaphthalene,-4.52,18.94,-17.66,1.28,-2.44,-4.58,2.50
1_naphthol,-8.31,18.12,-17.32,0.8,-7.67,-10.80,2.46
1_naphthylamine,-8.63,18.46,-17.59,0.87,-7.28,-10.08,2.46
1_nitrobutane,-2.43,15.88,-14.96,0.92,-3.09,-2.94,2.38
1_nitropentane,-2.4,17.89,-16.78,1.11,-2.82,-2.91,2.45
