solute,dG_expt,es_mobley,cav_mobley,disp_mobley,np_mobley,es_SLIC,np_SLIC,SASA,SESV,VdWA,VdWV,tot_area,matched_area,Br1,Br2,Br3,C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9,Cl1,Cl2,Cl3,Cl4,Cl5,F1,F2,F3,F4,F5,F6,H1,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H2,H20,H21,H22,H3,H4,H5,H6,H7,H8,H9,I1,I2,N1,N2,O1,O2,O3,O4,O5,O6,P1,S1,S2,Br1_type,Br2_type,Br3_type,C1_type,C10_type,C11_type,C12_type,C13_type,C14_type,C15_type,C16_type,C2_type,C3_type,C4_type,C5_type,C6_type,C7_type,C8_type,C9_type,Cl1_type,Cl2_type,Cl3_type,Cl4_type,Cl5_type,F1_type,F2_type,F3_type,F4_type,F5_type,F6_type,H1_type,H10_type,H11_type,H12_type,H13_type,H14_type,H15_type,H16_type,H17_type,H18_type,H19_type,H2_type,H20_type,H21_type,H22_type,H3_type,H4_type,H5_type,H6_type,H7_type,H8_type,H9_type,I1_type,I2_type,N1_type,N2_type,O1_type,O2_type,O3_type,O4_type,O5_type,O6_type,P1_type,S1_type,S2_type,n_amine,n_amide,n_nitro,n_other,o_carbonyl,o_ester,o_nitro,o_hydroxyl,fluorine,h_hydroxyl,h_amine,h_other,num_acceptor,num_donor
1_bromo_2_chloroethane,-1.95,-1.77,13.21,-11.42,1.79,-1.99,2.26,244.3,85.7,111.6,79.2,121.757,99.64,0.76,0,0,0.176,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0.243,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromo_2_methylpropane,-0.03,-0.95,15.1,-12.91,2.19,-1.29,2.33,276.3,116.5,138.8,106.3,133.307,113.987,0.606,0,0,0.345,0,0,0,0,0,0,0,0.344,0.175,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.34,0.184,0.254,0.29,0.241,0.248,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromobutane,-0.4,-0.97,15.74,-13.09,2.65,-1.35,2.36,289.9,117.5,144.9,106.8,140.608,113.657,0.762,0,0,0.434,0,0,0,0,0,0,0,0.198,0.108,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0.318,0.285,0.254,0.174,0.186,0.273,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromoheptane,0.34,-0.97,20.82,-18.19,2.63,-1.34,2.58,388.1,183.3,214.3,165.3,199.398,150.805,0.814,0,0,0.463,0,0,0,0,0,0,0,0.21,0.131,0.132,0.134,0.118,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.194,0.213,0.213,0.214,0.268,0.294,0,0,0,0,0.35,0,0,0,0.353,0.313,0.323,0.202,0.198,0.205,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,h,h,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromohexane,0.18,-0.97,19.5,-16.75,2.75,-1.32,2.51,355.6,161.4,191.3,145.7,179.929,139.999,0.796,0,0,0.45,0,0,0,0,0,0,0,0.204,0.126,0.13,0.114,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.206,0.204,0.293,0.245,0,0,0,0,0,0,0.37,0,0,0,0.366,0.287,0.285,0.18,0.216,0.231,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromooctane,0.52,-0.97,23.68,-20.79,2.89,-1.34,2.65,420.7,205.2,237.3,184.6,218.89,162.712,0.829,0,0,0.502,0,0,0,0,0,0,0,0.213,0.135,0.136,0.136,0.133,0.117,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0.331,0.2,0.198,0.195,0.238,0.227,0.2,0.257,0.26,0,0,0.449,0,0,0,0.382,0.32,0.295,0.198,0.198,0.18,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,h,h,h,h,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromopentane,-0.1,-0.96,17.49,-15.05,2.44,-1.32,2.43,323.2,139.6,168.4,126.3,160.438,127.746,0.774,0,0,0.44,0,0,0,0,0,0,0,0.198,0.124,0.112,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.241,0.298,0,0,0,0,0,0,0,0,0.358,0,0,0,0.316,0.295,0.305,0.181,0.21,0.197,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_bromopropane,-0.56,-0.98,13.75,-11.48,2.27,-1.35,2.28,257.4,95.6,122,87.4,121.065,103.034,0.724,0,0,0.414,0,0,0,0,0,0,0,0.174,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0.315,0.253,0.248,0.249,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_chloro_222_trifluoroethane,0.06,-2.27,12.23,-9.8,2.43,-2.92,2.25,241.3,87.5,111.5,80.9,116.027,91.507,0,0,0,0.198,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0.678,0,0,0,0,0.487,0.562,0.482,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,cl,0,0,0,0,f,f,f,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
1_chlorobutane,-0.16,-1.22,14.45,-12.24,2.21,-1.49,2.35,284.3,113.9,141.2,103.6,135.35,113.252,0,0,0,0.422,0,0,0,0,0,0,0,0.19,0.117,0.183,0,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0.329,0.295,0.289,0.173,0.202,0.284,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_chloroheptane,0.29,-1.21,20.2,-17.46,2.74,-1.49,2.57,382.6,179.7,210.6,162,194.028,145.009,0,0,0,0.468,0,0,0,0,0,0,0,0.213,0.132,0.134,0.134,0.127,0.201,0,0,0.777,0,0,0,0,0,0,0,0,0,0,0.359,0.217,0.183,0.237,0.207,0.281,0.301,0,0,0,0,0.355,0,0,0,0.339,0.313,0.302,0.206,0.197,0.195,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,h,h,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_chlorohexane,0,-1.23,18.26,-15.8,2.46,-1.53,2.48,346,157.5,185.7,142.4,172.4,136.08,0,0,0,0.445,0,0,0,0,0,0,0,0.201,0.125,0.098,0.172,0.243,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0.337,0.208,0.286,0.281,0.328,0,0,0,0,0,0,0.365,0,0,0,0.347,0.271,0.309,0.205,0.19,0.182,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_chloropentane,-0.07,-1.22,16.46,-14.06,2.4,-1.54,2.41,314.3,135.9,163.3,122.9,153.361,126.343,0,0,0,0.425,0,0,0,0,0,0,0,0.192,0.097,0.166,0.227,0,0,0,0,0.649,0,0,0,0,0,0,0,0,0,0,0.345,0.269,0.365,0,0,0,0,0,0,0,0,0.346,0,0,0,0.314,0.312,0.225,0.193,0.084,0.238,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,h,h,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_chloropropane,-0.33,-1.25,12.52,-10.35,2.17,-1.44,2.26,248.6,91.9,116.9,84.1,113.988,102.315,0,0,0,0.371,0,0,0,0,0,0,0,0.215,0.212,0,0,0,0,0,0,0.596,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0.381,0,0,0,0.185,0.27,0.349,0.238,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,0,0,0,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_ethylnaphthalene,-2.4,-4.61,19.94,-18.33,1.61,-4.48,2.56,380.5,189.8,209.8,176,197.517,182.24,0,0,0,0.315,0.049,0.372,0.161,0,0,0,0,0.315,0.315,0.26,0.181,0.264,0.211,0.094,0.08,0,0,0,0,0,0,0,0,0,0,0,0.37,0.246,0.236,0.144,0,0,0,0,0,0,0,0.349,0,0,0,0.312,0.246,0.095,0.27,0.241,0.227,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp2,c-sp2,c-sp3,c-sp3,0,0,0,0,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,c-sp2,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_iodobutane,-0.25,-1.83,16.17,-13.76,2.41,-2.46,2.38,298.8,123.6,150.9,112.8,148.718,121.806,0,0,0,0.429,0,0,0,0,0,0,0,0.195,0.101,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0.311,0.302,0.248,0.167,0.166,0.253,0.259,0.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_iodoheptane,0.27,-1.8,22.85,-19.86,2.99,-2.42,2.6,397.2,189.5,220.3,171.1,207.624,161.544,0,0,0,0.477,0,0,0,0,0,0,0,0.206,0.13,0.13,0.126,0.105,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.192,0.244,0.179,0.23,0.262,0.287,0,0,0,0,0.348,0,0,0,0.425,0.281,0.31,0.212,0.202,0.153,0.212,0.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,h,h,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_iodohexane,0.08,-1.81,19.81,-17.34,2.47,-2.41,2.53,364.5,167.5,197.2,151.7,188.105,148.178,0,0,0,0.446,0,0,0,0,0,0,0,0.202,0.126,0.128,0.107,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0.212,0.19,0.272,0.262,0,0,0,0,0,0,0.366,0,0,0,0.361,0.296,0.296,0.201,0.226,0.197,0.212,0.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
