solute,dG_expt,es_mobley,cav_mobley,disp_mobley,np_mobley,es_SLIC,np_SLIC,SASA,SESV,VdWA,VdWV,tot_area,matched_area,Br1,Br2,Br3,C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9,Cl1,Cl2,Cl3,Cl4,Cl5,F1,F2,F3,F4,F5,F6,H1,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H2,H20,H21,H22,H3,H4,H5,H6,H7,H8,H9,I1,I2,N1,N2,O1,O2,O3,O4,O5,O6,P1,S1,S2,Br1_type,Br2_type,Br3_type,C1_type,C10_type,C11_type,C12_type,C13_type,C14_type,C15_type,C16_type,C2_type,C3_type,C4_type,C5_type,C6_type,C7_type,C8_type,C9_type,Cl1_type,Cl2_type,Cl3_type,Cl4_type,Cl5_type,F1_type,F2_type,F3_type,F4_type,F5_type,F6_type,H1_type,H10_type,H11_type,H12_type,H13_type,H14_type,H15_type,H16_type,H17_type,H18_type,H19_type,H2_type,H20_type,H21_type,H22_type,H3_type,H4_type,H5_type,H6_type,H7_type,H8_type,H9_type,I1_type,I2_type,N1_type,N2_type,O1_type,O2_type,O3_type,O4_type,O5_type,O6_type,P1_type,S1_type,S2_type,n_amine,n_amide,n_nitro,n_other,o_carbonyl,o_ester,o_nitro,o_hydroxyl,fluorine,h_hydroxyl,h_amine,h_other,num_acceptor,num_donor
1_bromo_2_chloroethane,-1.95,-1.77,13.21,-11.42,1.79,-1.99,2.26,244.3,85.7,111.6,79.2,105.541,67.397,0.911388667,0,0,0.081429915,0,0,0,0,0,0,0,0.078297995,0,0,0,0,0,0,0,0.847184311,0,0,0,0,0,0,0,0,0,0,0.303796222,0,0,0,0,0,0,0,0,0,0,0.278740864,0,0,0,0.281872784,0.385226138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1_bromo_2_methylpropane,-0.03,-0.95,15.1,-12.91,2.19,-1.29,2.33,276.3,116.5,138.8,106.3,127.795,65.996,0.884937193,0,0,0.073583399,0,0,0,0,0,0,0,0.075519804,0.106502288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280778759,0,0,0,0,0,0,0,0,0,0,0.44730961,0,0,0,0.472482878,0.344680132,0.501528956,0.4066451,0.274969544,0.331125295,0.396963074,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_bromobutane,-0.4,-0.97,15.74,-13.09,2.65,-1.35,2.36,289.9,117.5,144.9,106.8,134.208,69.641,1.073417326,0,0,0.088648469,0,0,0,0,0,0,0,0.005781422,0,0.077085625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479858015,0,0,0,0,0,0,0,0,0,0,0.653300671,0,0,0,0.514546546,0.370010999,0.37193814,0.287143953,0.308342499,0.289071093,0.238965437,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_bromoheptane,0.34,-0.97,20.82,-18.19,2.63,-1.34,2.58,388.1,183.3,214.3,165.3,195.117,88.115,1.233390104,0,0,0.121788969,0,0,0,0,0,0,0,0.006643035,0,0,0,0,0.09078814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708590365,0.296722215,0.261292697,0.272364421,0.349866493,0.367581252,0.349866493,0,0,0,0,0.553586223,0,0,0,0.569086637,0.405225115,0.365366907,0.349866493,0.30779394,0.310008285,0.287864836,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,h,h,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_bromohexane,0.18,-0.97,19.5,-16.75,2.75,-1.32,2.51,355.6,161.4,191.3,145.7,174.992,86.041,1.138939808,0,0,0.124063086,0,0,0,0,0,0,0,0.006101463,0,0,0,0.095589591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583706651,0.325411374,0.366087795,0.353884869,0.278633489,0,0,0,0,0,0,0.669127137,0,0,0,0.54303023,0.372189259,0.357952511,0.2989717,0.317276089,0.235923246,0.351851048,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_bromooctane,0.52,-0.97,23.68,-20.79,2.89,-1.34,2.65,420.7,205.2,237.3,184.6,215.427,99.047,1.213648732,0,0,0.100049896,0,0,0,0,0,0,0,0.004349995,0,0,0,0,0,0.086999909,0,0,0,0,0,0,0,0,0,0,0,0,0.454574525,0.326249659,0.337124648,0.271874716,0.352349632,0.332774652,0.345824639,0.448049532,0.380624602,0,0,0.700349269,0,0,0,0.535049441,0.476324503,0.495899482,0.311024675,0.326249659,0.328424657,0.291449696,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,h,h,h,h,h,h,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_bromopentane,-0.1,-0.96,17.49,-15.05,2.44,-1.32,2.43,323.2,139.6,168.4,126.3,154.867,77.916,1.107101481,0,0,0.091430284,0,0,0,0,0,0,0,0.005962845,0,0,0.079504595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655912906,0.385597284,0.395535359,0,0,0,0,0,0,0,0,0.508829406,0,0,0,0.403485818,0.395535359,0.441250501,0.282241311,0.244476629,0.310067919,0.329944068,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,h,h,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_bromopropane,-0.56,-0.98,13.75,-11.48,2.27,-1.35,2.28,257.4,95.6,122,87.4,114.07,65.245,0.975569929,0,0,0.103151659,0,0,0,0,0,0,0,0.003496666,0.069933328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54547996,0,0,0,0,0,0,0,0,0,0,0.514009962,0,0,0,0.445824967,0.419599969,0.351414974,0.279733313,0.269243314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,br,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1_chloro_222_trifluoroethane,0.06,-2.27,12.23,-9.8,2.43,-2.92,2.25,241.3,87.5,111.5,80.9,104.865,71.712,0,0,0,0.074577686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726766859,0,0,0,0,0.587847641,0.652189173,0.583460718,0,0,0,0.345104585,0,0,0,0,0,0,0,0,0,0,0.304159973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,cl,0,0,0,0,f,f,f,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0
1_chlorobutane,-0.16,-1.22,14.45,-12.24,2.21,-1.49,2.35,284.3,113.9,141.2,103.6,130.892,67.565,0,0,0,0.08911466,0,0,0,0,0,0,0,0.005811826,0,0.08911466,0,0,0,0,0,1.026755865,0,0,0,0,0,0,0,0,0,0,0.476569703,0,0,0,0,0,0,0,0,0,0,0.639300821,0,0,0,0.455259676,0.393266869,0.391329594,0.284779457,0.277030356,0.397141419,0.275093081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-sp3,0,0,0,0,0,0,0,c-sp3,c-sp3,c-sp3,0,0,0,0,0,cl,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,h,0,0,0,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
