solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii,SASAB,SASVB,SASAM,SASVM,SASAV,SASVV,totAB,totAM,totVM,totVB
1_bromo_2_chloroethane,-1.77,11.42,-9.63,1.79,0.02,-1.95,-2.03,143.4,239.5,103.9,79.2,103.8,81.2,244.3,107.4,85.7,111.6,79.2,266.7,123.3,107.6,125.4,105.4,266.7,374.5,244.3,315.4,239.5,312.6,296.918,243.051,131.12,182.13
1_bromo_2_methylpropane,-0.95,12.91,-10.72,2.19,1.24,-0.03,-1.41,136.9,262.8,120.3,100.6,120.2,102.8,276.3,130,116.5,138.8,106.3,282.3,135.2,126.2,138.9,122.5,282.3,412.2,276.3,365.8,262.8,361.3,450.823,403.834,209.99,259.08
1_bromobutane,-0.97,13.09,-10.44,2.65,1.68,-0.4,-1.46,136.9,276.8,126.7,101,126.6,103.2,289.9,136.5,117.5,144.9,106.8,297.8,142.5,127.5,145.9,123.9,297.8,429.7,289.9,380.4,276.8,375.7,450.823,403.834,209.99,259.08
1_bromoheptane,-0.97,18.19,-15.56,2.63,1.66,0.34,-1.46,178.9,371.3,184.2,156.2,184,159,388.1,198.3,183.3,214.3,165.3,393.9,202.1,190.6,208.5,183.5,393.9,601.5,388.1,544.3,371.3,536.2,729.04,661.105,342.308,414.83
1_bromohexane,-0.97,16.75,-14,2.75,1.78,0.18,-1.43,164.9,340,165.1,137.9,164.9,140.4,355.6,177.8,161.4,191.3,145.7,362,182.3,169.7,187.7,163.7,362,544.5,355.6,489.9,340,482.9,636.301,575.348,298.202,362.91
1_bromooctane,-0.97,20.79,-17.9,2.89,1.92,0.52,-1.45,192.9,402.5,203.3,174.5,203,177.5,420.7,218.9,205.2,237.3,184.6,425.7,221.8,211.6,229.2,203.4,425.7,658.5,420.7,598.9,402.5,589.3,821.779,746.862,386.414,466.74
1_bromopentane,-0.96,15.05,-12.61,2.44,1.48,-0.1,-1.43,150.9,308.8,146.1,119.6,146,121.9,323.2,157.4,139.6,168.4,126.3,330.3,162.6,148.7,167,143.9,330.3,487.6,323.2,435.9,308.8,429.9,543.562,489.591,254.096,311
1_bromopropane,-0.98,11.48,-9.21,2.27,1.29,-0.56,-1.46,122.9,245.6,107.6,82.6,107.6,84.6,257.4,116,95.6,122,87.4,266.1,122.8,106.5,125.2,104,266.1,372.7,257.4,326.2,245.6,322.6,358.084,318.077,165.884,207.16
1_chloro_222_trifluoroethane,-2.27,9.8,-7.37,2.43,0.16,0.06,-2.73,118.5,230.4,98.9,75.6,98.8,77.4,241.3,106.6,87.5,111.5,80.9,256.8,117.6,102.4,120.2,99.9,256.8,358.4,241.3,302,230.4,299,307.342,256.446,139.272,185.45
1_chlorobutane,-1.22,12.24,-10.03,2.21,0.99,-0.16,-1.61,92.5,270,122.4,96.6,122.3,98.6,284.3,133.1,113.9,141.2,103.6,289.7,137.3,121.2,140.5,117.7,289.7,413.9,284.3,368.1,270,363.4,445.003,400.795,207.216,252.95
1_chloroheptane,-1.21,17.46,-14.72,2.74,1.53,0.29,-1.62,134.5,364.4,179.9,151.7,179.7,154.5,382.6,195,179.7,210.6,162,385.7,196.8,184.2,203,177.3,385.7,585.8,382.6,532.1,364.4,523.9,723.22,658.066,339.534,408.7
