12_diacetoxyethane,3.19,10.25,96.85
12_dimethoxyethane,0.16,8.74,57.84
12_ethanediol,0.57,7.38,27.22
14_dioxane,-0.78,5.81,30.54
2_butoxyethanol,-0.84,10.75,92.9
2_ethoxyethanol,1.58,8.57,62.76
2_methylbutan_2_ol,-0.60,11.34,96.8
2_methylpropan_1_ol,-0.09,9.29,78.87
2_methylpropan_2_ol,-0.25,10.25,84.37
2_methylpropane,2.35,7.5,88.43
2_methylpyridine,-0.76,7.82,64.53
2_propoxyethanol,1.91,9.72,78.15
22_dimethylpropane,2.54,7.91,117.11
24_dimethylpentan_3_one,0.92,9.33,58.1
26_dimethylpyridine,-1.06,9.62,75.55
3_methyl_1h_indole,0.51,8.58,99.1
3_methylpyridine,-0.87,7.9,67.07
3_methylpyridine,-0.87,7.11,67.07
3_nitrophenol,-2.26,5.96,59.54
4_methylpentan_2_one,0.98,7.77,66.92
4_methylpyridine,-0.91,7.78,66.13
4_nitrophenol,-3.07,5.16,55.74
acenaphthene,0.46,8.11,93.09
acetic_acid,1.54,5.33,23.54
anthracene,0.75,9.45,47.97
benzene,1.38,6.12,69.31
bromomethane,0.31,4.68,47.99
but_1_ene,1.84,6.73,93.21
buta_13_diene,1.69,6.46,138.79
butan_1_ol,0.05,9.43,80.07
butan_2_ol,-0.49,9.79,81.26
butanoic_acid,1.36,7.27,52.87
butanone,0.81,6.61,55.86
chlorodifluoromethane,2.41,6.93,83.6
chloroethylene,0.65,5.15,30.9
chlorofluoromethane,1.77,3.82,36.85
chloromethane,0.75,4.38,44.05
cycloheptanol,-0.89,11.77,105.16
cyclohexane,1.26,8.54,97.99
cyclohexanol,-0.98,10.84,81.26
cyclopentanol,-1.01,10.11,88.43
cyclopropane,0.91,5.72,74.09
di_n_propyl_sulfide,0.50,9.51,116.4
di_n_propylamine,-0.72,13.01,95.43
diethyl_disulfide,0.60,7.55,86.76
diethyl_sulfide,0.40,7.55,76.48
diethylamine,-1.03,10.87,88.65
dimethyl_sulfide,0.13,5.31,54.49
dimethyl_sulfoxide,-1.04,7.88,23.11
ethanamide,-0.16,6.56,22.61
ethane,1.85,5.87,66.92
ethanol,-0.13,6.97,47.56
ethene,1.77,4.62,57.36
ethyl_acetate,1.62,7.36,67.64
ethylbenzene,1.28,8.22,88.43
fluoromethane,1.40,3.51,36.33
heptan_1_ol,0.42,12.33,124.28
heptan_2_one,1.16,9.96,64.01
heptan_4_one,0.89,10.88,58.05
hexan_1_ol,0.21,11.28,109.94
hexan_3_ol,-0.06,11.97,112.33
iodomethane,1.36,4.7,99.81
m_xylene,1.18,7.77,98.09
methane,2.00,4.52,52.58
methanol,0.08,5.09,27.25
methyl_acetate,2.03,6.43,49.02
methyl_ethyl_sulfide,0.32,6.47,39.8
morpholine,-1.68,8.83,33.17
n_butane,2.10,7.66,92.02
n_butylacetamide,-0.24,11.53,85.44
n_butylamine,0.52,9.27,72.54
n_hexane,2.52,9.43,117.11
n_hexylamine,0.73,11.14,104.95
N_methylacetamide,-1.95,6.92,40.03
N_methylmorpholine,-2.05,9.49,47.83
N_methylpiperidine,-1.42,11.24,96.65
n_pentane,2.35,8.6,105.16
n_pentylamine,0.83,10.16,89.44
n_propanethiol,1.67,5.56,78.87
n_propylamine,0.18,8.33,55.26
n_propylbenzene,1.52,9.36,107.55
naphthalene,1.20,8.2,82.1
NN_dimethylformamide,-1.18,6.7,32.55
octan_1_ol,0.69,13.09,136.23
p_cresol,0.32,8,62.02
p_xylene,1.22,7.83,80.09
pentan_1_ol,0.05,10.37,96.08
pentan_3_ol,-0.34,11.02,97.99
pentan_3_one,0.48,7.81,71.99
phenol,-0.03,6.4,50.53
piperidine,-1.82,9.92,76.12
prop_2_en_1_ol,-0.19,7.37,62.14
propan_1_ol,0.13,8.33,64.05
propan_2_ol,-0.37,8.64,65.01
propane,1.98,6.83,78.87
propanoic_acid,1.42,6.44,38.29
propanone,0.68,5.37,39.77
propene,1.83,5.88,66.92
propyne,0.59,3.75,79.54
pyrene,0.86,10.08,129.97
pyridine,-0.53,6.62,54.4
pyrrolidine,-1.69,9.11,60.33
tetrafluoromethane,3.70,6.12,90.75
tetrahydrofuran,-0.81,7.23,50.29
tetrahydropyran,-0.94,7.96,63.6
toluene,1.24,7.19,81.26
