12_diacetoxyethane,-6.34,10.25,96.85
12_dimethoxyethane,-4.84,8.74,57.84
12_ethanediol,-9.3,7.38,27.22
14_dioxane,-5.06,5.81,30.54
2_butoxyethanol,-6.25,10.75,92.9
2_ethoxyethanol,-6.69,8.57,62.76
2_methylbutan_2_ol,-4.43,11.34,96.8
2_methylpropan_1_ol,-4.5,9.29,78.87
2_methylpropan_2_ol,-4.47,10.25,84.37
2_methylpropane,2.32,7.5,88.43
2_methylpyridine,-4.63,7.82,64.53
2_propoxyethanol,-6.4,9.72,78.15
22_dimethylpropane,2.51,7.91,117.11
24_dimethylpentan_3_one,-2.74,9.33,58.1
26_dimethylpyridine,-4.59,9.62,75.55
3_methyl_1h_indole,-5.88,8.58,99.1
3_methylpyridine,-4.77,7.9,67.07
3_methylpyridine,-4.77,7.11,67.07
3_nitrophenol,-9.62,5.96,59.54
4_methylpentan_2_one,-3.05,7.77,66.92
4_methylpyridine,-4.93,7.78,66.13
4_nitrophenol,-10.64,5.16,55.74
acenaphthene,-3.15,8.11,93.09
acetic_acid,-6.69,5.33,23.54
anthracene,-3.95,9.45,47.97
benzene,-0.86,6.12,69.31
bromomethane,-0.82,4.68,47.99
but_1_ene,1.38,6.73,93.21
buta_13_diene,0.61,6.46,138.79
butan_1_ol,-4.72,9.43,80.07
butan_2_ol,-4.62,9.79,81.26
butanoic_acid,-6.35,7.27,52.87
butanone,-3.71,6.61,55.86
chlorodifluoromethane,-0.5,6.93,83.6
chloroethylene,-0.59,5.15,30.9
chlorofluoromethane,-0.77,3.82,36.85
chloromethane,-0.55,4.38,44.05
cycloheptanol,-5.48,11.77,105.16
cyclohexane,1.23,8.54,97.99
cyclohexanol,-5.46,10.84,81.26
cyclopentanol,-5.49,10.11,88.43
cyclopropane,0.75,5.72,74.09
di_n_propyl_sulfide,-1.28,9.51,116.4
di_n_propylamine,-3.65,13.01,95.43
diethyl_disulfide,-1.64,7.55,86.76
diethyl_sulfide,-1.46,7.55,76.48
diethylamine,-4.07,10.87,88.65
dimethyl_sulfide,-1.61,5.31,54.49
dimethyl_sulfoxide,-8.71,7.88,23.11
ethanamide,-9.71,6.56,22.61
ethane,1.83,5.87,66.92
ethanol,-5,6.97,47.56
ethene,1.28,4.62,57.36
ethyl_acetate,-2.94,7.36,67.64
ethylbenzene,-0.79,8.22,88.43
fluoromethane,-0.22,3.51,36.33
heptan_1_ol,-4.21,12.33,124.28
heptan_2_one,-3.04,9.96,64.01
heptan_4_one,-2.92,10.88,58.05
hexan_1_ol,-4.4,11.28,109.94
hexan_3_ol,-4.06,11.97,112.33
iodomethane,-0.89,4.7,99.81
m_xylene,-0.83,7.77,98.09
methane,1.99,4.52,52.58
methanol,-5.1,5.09,27.25
methyl_acetate,-3.13,6.43,49.02
methyl_ethyl_sulfide,-1.5,6.47,39.8
morpholine,-7.17,8.83,33.17
n_butane,2.07,7.66,92.02
n_butylacetamide,-9.31,11.53,85.44
n_butylamine,-4.24,9.27,72.54
n_hexane,2.48,9.43,117.11
n_hexylamine,-3.95,11.14,104.95
N_methylacetamide,-10,6.92,40.03
N_methylmorpholine,-6.32,9.49,47.83
N_methylpiperidine,-3.88,11.24,96.65
n_pentane,2.32,8.6,105.16
n_pentylamine,-4.09,10.16,89.44
n_propanethiol,-1.06,5.56,78.87
n_propylamine,-4.39,8.33,55.26
n_propylbenzene,-0.53,9.36,107.55
naphthalene,-2.4,8.2,82.1
NN_dimethylformamide,-7.81,6.7,32.55
octan_1_ol,-4.09,13.09,136.23
p_cresol,-6.13,8,62.02
p_xylene,-0.8,7.83,80.09
pentan_1_ol,-4.57,10.37,96.08
pentan_3_ol,-4.35,11.02,97.99
pentan_3_one,-3.41,7.81,71.99
phenol,-6.61,6.4,50.53
piperidine,-5.11,9.92,76.12
prop_2_en_1_ol,-5.03,7.37,62.14
propan_1_ol,-4.85,8.33,64.05
propan_2_ol,-4.74,8.64,65.01
propane,1.96,6.83,78.87
propanoic_acid,-6.46,6.44,38.29
propanone,-3.8,5.37,39.77
propene,1.32,5.88,66.92
propyne,-0.48,3.75,79.54
pyrene,-4.52,10.08,129.97
pyridine,-4.69,6.62,54.4
pyrrolidine,-5.48,9.11,60.33
tetrafluoromethane,3.12,6.12,90.75
tetrahydrofuran,-3.47,7.23,50.29
tetrahydropyran,-3.12,7.96,63.6
toluene,-0.89,7.19,81.26
