12_diacetoxyethane,-6.34,-16.59,10.25,96.85,-10.61,-18.68,8.06,85.88
12_dimethoxyethane,-4.84,-13.58,8.74,57.84,-5.27,-12.27,7.00,77.54
12_ethanediol,-9.30,-16.68,7.38,27.22,-11.77,-18.94,7.17,40.08
14_dioxane,-5.06,-10.87,5.81,30.54,-4.00,-9.83,5.84,56.41
2_butoxyethanol,-6.25,-17.00,10.75,92.90,-4.63,-14.49,9.86,123.91
2_ethoxyethanol,-6.69,-15.26,8.57,62.76,-9.67,-18.00,8.33,79.03
2_methoxyethanol,-6.76,-13.85,7.09,44.62,-9.44,-16.88,7.45,59.93
2_methylbutan_2_ol,-4.43,-15.77,11.34,96.80,-2.73,-10.95,8.22,95.36
2_methylpropan_1_ol,-4.50,-13.79,9.29,78.87,-4.17,-12.44,8.27,85.53
2_methylpropan_2_ol,-4.47,-14.72,10.25,84.37,-3.45,-10.96,7.52,80.82
2_methylpropane,2.32,-5.18,7.50,88.43,2.00,-5.29,7.28,91.52
2_methylpyridine,-4.63,-12.45,7.82,64.53,-3.35,-10.29,6.93,77.77
2_propoxyethanol,-6.40,-16.12,9.72,78.15,-9.67,-19.08,9.41,98.66
22_dimethylpropane,2.51,-5.40,7.91,117.11,2.03,-5.88,7.91,102.82
24_dimethylpentan_3_one,-2.74,-12.07,9.33,58.10,-3.13,-12.44,9.31,124.31
26_dimethylpyridine,-4.59,-14.21,9.62,75.55,-2.92,-11.03,8.11,100.10
3_methylpyridine,-4.77,-12.67,7.90,67.07,-3.37,-10.33,6.96,78.87
3_methylpyridine,-4.77,-11.88,7.11,67.07,-3.37,-10.33,6.96,78.87
3_nitrophenol,-9.62,-15.58,5.96,59.54,-6.50,-14.53,8.03,68.23
4_methylpentan_2_one,-3.05,-10.82,7.77,66.92,-3.52,-11.80,8.28,103.83
4_methylpyridine,-4.93,-12.71,7.78,66.13,-3.54,-10.41,6.87,76.83
4_nitrophenol,-10.64,-15.80,5.16,55.74,-6.98,-15.02,8.04,66.70
acenaphthene,-3.15,-11.26,8.11,93.09,-3.12,-11.82,8.70,107.70
acetic_acid,-6.69,-12.02,5.33,23.54,-9.16,-15.73,6.58,42.44
anthracene,-3.95,-13.40,9.45,47.97,-4.47,-13.25,8.78,103.96
benzene,-0.86,-6.98,6.12,69.31,-1.21,-7.51,6.29,67.58
bromomethane,-0.82,-5.50,4.68,47.99,0.45,-4.13,4.59,39.06
but_1_ene,1.38,-5.35,6.73,93.21,1.34,-5.55,6.90,83.34
buta_13_diene,0.61,-5.85,6.46,138.79,0.44,-5.73,6.17,68.37
butan_1_ol,-4.72,-14.15,9.43,80.07,-3.92,-11.90,7.97,86.99
butan_2_ol,-4.62,-14.41,9.79,81.26,-3.22,-10.98,7.76,84.47
butanoic_acid,-6.35,-13.62,7.27,52.87,-8.52,-17.47,8.95,86.25
butanone,-3.71,-10.32,6.61,55.86,-3.99,-10.34,6.36,65.99
chlorodifluoromethane,-0.50,-7.43,6.93,83.60,-0.81,-6.10,5.29,40.36
chloroethylene,-0.59,-5.74,5.15,30.90,0.40,-4.62,5.02,46.02
chlorofluoromethane,-0.77,-4.59,3.82,36.85,-0.90,-4.93,4.02,21.47
chloromethane,-0.55,-4.93,4.38,44.05,0.22,-4.14,4.36,34.58
cycloheptanol,-5.48,-17.25,11.77,105.16,-3.67,-12.62,8.95,105.63
cyclohexane,1.23,-7.31,8.54,97.99,2.04,-6.13,8.17,107.40
cyclohexanol,-5.46,-16.30,10.84,81.26,-4.21,-13.37,9.16,103.70
cyclopentanol,-5.49,-15.60,10.11,88.43,-4.05,-12.54,8.49,91.14
cyclopropane,0.75,-4.97,5.72,74.09,1.73,-4.20,5.93,66.73
di_n_butylamine,-3.24,-17.54,14.30,94.79,-1.81,-13.69,11.88,166.18
di_n_propyl_sulfide,-1.28,-10.79,9.51,116.40,-0.36,-10.13,9.77,132.95
di_n_propylamine,-3.65,-16.66,13.01,95.43,-1.89,-11.94,10.05,133.25
diethyl_disulfide,-1.64,-9.19,7.55,86.76,-0.97,-9.46,8.49,108.03
diethyl_sulfide,-1.46,-9.01,7.55,76.48,-0.59,-8.43,7.84,98.11
diethylamine,-4.07,-14.94,10.87,88.65,-2.15,-10.28,8.13,98.05
dimethyl_disulfide,-1.83,-7.69,5.86,68.36,0.98,-5.81,6.79,80.28
dimethyl_sulfide,-1.61,-6.92,5.31,54.49,-0.44,-6.05,5.61,57.48
dimethyl_sulfoxide,-8.71,-16.59,7.88,23.11,-8.40,-13.26,4.86,34.78
ethanamide,-9.71,-16.27,6.56,22.61,-9.80,-15.78,5.98,42.67
ethane,1.83,-4.04,5.87,66.92,1.91,-3.67,5.58,60.91
ethanol,-5.00,-11.97,6.97,47.56,-4.74,-11.21,6.47,53.16
ethene,1.28,-3.34,4.62,57.36,1.20,-3.61,4.82,45.76
