111_trifluoropropan_2_ol,8.04,6.65,6.76
12_diacetoxyethane,10.25,8.06,10.07
12_dimethoxyethane,8.74,7.00,7.87
12_ethanediol,7.38,7.17,6.59
123_trimethylbenzene,7.15,8.84,8.56
124_trimethylbenzene,8.08,9.13,8.77
135_trimethylbenzene,8.30,9.37,8.95
14_dioxane,5.81,5.84,6.78
2_butoxyethanol,10.75,9.86,9.22
2_chloropyridine,6.83,6.04,7.09
2_ethoxyethanol,8.57,8.33,8.21
2_ethylpyridine,7.85,7.88,8.21
2_methoxyethanol,7.09,7.45,7.50
2_methyl_but_2_ene,7.78,7.75,7.22
2_methylbuta_13_diene,5.51,6.98,6.82
2_methylbutan_2_ol,11.34,8.22,7.62
2_methylbutane,7.78,7.94,7.22
2_methylpentane,9.70,8.98,8.08
2_methylpropan_1_ol,9.29,8.27,7.29
2_methylpropan_2_ol,10.25,7.52,7.14
2_methylpropane,7.50,7.28,6.68
2_methylpropene,7.63,6.82,6.46
2_methylpyridine,7.82,6.93,7.51
2_propoxyethanol,9.72,9.41,9.25
22_dimethylpropane,7.91,7.91,7.19
222_trifluoroethanol,7.06,6.49,6.33
23_dimethylbutane,8.72,8.62,7.78
23_dimethylpyridine,8.37,7.83,8.11
24_dimethylpentan_3_one,9.33,9.31,9.14
24_dimethylpyridine,9.05,8.05,8.29
25_dimethylpyridine,9.22,8.18,8.32
26_dimethylpyridine,9.62,8.11,8.35
3_chlorophenol,4.81,7.73,7.46
3_chloropyridine,6.44,6.32,7.05
3_methylbutan_2_one,7.49,7.50,7.78
3_methylpyridine,7.90,6.96,7.41
3_methylpyridine,7.11,6.96,7.41
3_nitrophenol,5.96,8.03,7.67
33_dimethylbutan_2_one,8.22,8.10,8.16
34_dimethylpyridine,7.72,7.78,7.97
35_dimethylpyridine,9.02,8.19,8.25
4_bromophenol,8.54,7.73,7.56
4_methylpentan_2_one,7.77,8.28,8.45
4_methylpyridine,7.78,6.87,7.40
4_nitrophenol,5.16,8.04,7.75
acenaphthene,8.11,8.70,9.07
acetic_acid,5.33,6.58,6.22
anthracene,9.45,8.78,9.75
benzene,6.12,6.29,6.65
bromomethane,4.68,4.59,4.93
but_1_ene,6.73,6.90,6.53
but_1_yne,3.06,6.46,6.34
buta_13_diene,6.46,6.17,6.17
butan_1_ol,9.43,7.97,7.25
butan_2_ol,9.79,7.76,7.11
butanoic_acid,7.27,8.95,7.84
butanone,6.61,6.36,7.06
chlorodifluoromethane,6.93,5.29,5.12
chloroethylene,5.15,5.02,5.36
chlorofluoromethane,3.82,4.02,4.92
chloromethane,4.38,4.36,4.78
cyclohepta_135_triene,6.18,7.20,7.32
cycloheptanol,11.77,8.95,8.32
cyclohexane,8.54,8.17,7.41
cyclohexanol,10.84,9.16,8.12
cyclohexene,7.42,7.73,7.23
cyclopentane,7.05,7.49,6.87
cyclopentanol,10.11,8.49,7.44
cyclopentene,6.10,6.94,6.64
cyclopropane,5.72,5.93,5.62
di_n_butylamine,14.30,11.88,10.86
di_n_propyl_sulfide,9.51,9.77,9.18
di_n_propylamine,13.01,10.05,9.34
diethyl_disulfide,7.55,8.49,8.35
diethyl_sulfide,7.55,7.84,7.62
diethylamine,10.87,8.13,7.78
dimethyl_disulfide,5.86,6.79,6.57
dimethyl_sulfide,5.31,5.61,5.80
dimethyl_sulfoxide,7.88,4.86,6.69
ethanamide,6.56,5.98,6.17
ethane,5.87,5.58,5.28
ethanethiol,5.16,6.00,5.76
ethanol,6.97,6.47,5.90
ethene,4.62,4.82,4.84
ethyl_acetate,7.36,7.24,7.72
ethylamine,7.81,6.27,5.99
ethylbenzene,8.22,8.22,8.14
fluorene,8.75,8.85,9.52
fluoromethane,3.51,3.89,4.44
heptan_1_ol,12.33,10.59,9.54
heptan_2_one,9.96,9.47,9.50
heptan_4_one,10.88,9.59,9.60
hex_1_ene,8.68,8.79,8.08
hexan_1_ol,11.28,9.72,8.80
hexan_2_one,8.50,8.55,8.72
hexan_3_ol,11.97,9.60,8.49
iodomethane,4.70,4.22,5.12
isopropylbenzene,8.56,8.91,8.69
m_cresol,7.93,8.35,7.70
m_xylene,7.77,8.34,8.18
methane,4.52,4.43,4.34
methanethiol,3.98,4.80,4.83
methanol,5.09,5.40,4.90
methyl_acetate,6.43,5.77,6.83
methylcyclohexane,12.02,8.91,8.03
morpholine,8.83,6.84,7.07
n_butane,7.66,7.45,6.82
n_butanethiol,7.08,7.75,7.23
n_butylacetamide,11.53,9.94,9.40
n_butylamine,9.27,8.20,7.59
n_butylbenzene,10.02,10.06,9.66
n_heptane,10.46,10.25,9.13
n_hexane,9.43,9.30,8.35
n_hexylamine,11.14,10.05,8.97
n_hexylbenzene,11.88,11.92,11.18
N_methylacetamide,6.92,6.59,7.27
N_methylmorpholine,9.49,7.05,7.93
N_methylpiperidine,11.24,8.11,8.14
n_octane,11.46,11.18,9.89
n_pentane,8.60,8.38,7.58
n_pentylamine,10.16,9.16,8.47
n_pentylbenzene,10.83,11.02,10.44
n_propanethiol,5.56,6.88,8.48
n_propylamine,8.33,7.31,6.74
n_propylbenzene,9.36,9.16,8.91
naphthalene,8.20,7.52,8.20
nitromethane,3.92,4.16,5.21
NN_dimethylformamide,6.70,5.55,6.87
nonan_2_one,11.81,11.32,11.00
nonan_5_one,12.80,11.44,11.06
o_cresol,8.51,8.14,7.60
o_xylene,7.25,8.05,7.96
oct_1_ene,10.14,10.66,9.62
octan_1_ol,13.09,12.61,10.86
p_cresol,8.00,8.24,7.70
p_xylene,7.83,8.34,8.19
pentan_1_ol,10.37,8.89,7.98
pentan_2_one,7.52,7.63,7.97
pentan_3_ol,11.02,8.90,8.01
pentan_3_one,7.81,7.67,7.96
phenanthrene,8.52,8.60,9.63
phenol,6.40,7.20,6.94
piperidine,9.92,7.94,7.42
prop_2_en_1_ol,7.37,6.63,6.20
propan_1_ol,8.33,7.02,6.34
propan_2_ol,8.64,6.92,6.55
propane,6.83,6.52,6.06
propanoic_acid,6.44,8.10,7.32
propanone,5.37,5.67,6.35
propene,5.88,5.92,5.74
propyne,3.75,5.36,5.47
pyrene,10.08,8.70,9.97
pyridine,6.62,5.75,6.63
pyrrolidine,9.11,7.16,6.98
tetrafluoromethane,6.12,5.13,5.24
tetrahydrofuran,7.23,6.51,6.60
tetrahydropyran,7.96,7.27,7.14
toluene,7.19,7.32,7.42
Li,11.68,0.00,11.51
Na,9.47,0.00,6.65
K,6.84,0.00,6.15
Rb,6.20,0.00,6.30
Cs,5.77,0.00,6.63
Cl,3.77,0.00,2.44
Br,2.64,0.00,2.40
I,1.00,0.00,2.53
