111_trifluoropropan_2_ol,8.04,6.65
12_diacetoxyethane,10.25,8.06
12_dimethoxyethane,8.74,7.00
12_ethanediol,7.38,7.17
123_trimethylbenzene,7.15,8.84
124_trimethylbenzene,8.08,9.13
135_trimethylbenzene,8.30,9.37
14_dioxane,5.81,5.84
2_butoxyethanol,10.75,9.86
2_chloropyridine,6.83,6.04
2_ethoxyethanol,8.57,8.33
2_ethylpyridine,7.85,7.88
2_methoxyethanol,7.09,7.45
2_methyl_but_2_ene,7.78,7.75
2_methylbuta_13_diene,5.51,6.98
2_methylbutane,7.78,7.94
2_methylpentane,9.70,8.98
2_methylpropane,7.50,7.28
2_methylpropene,7.63,6.82
2_methylpyridine,7.82,6.93
2_propoxyethanol,9.72,9.41
22_dimethylpropane,7.91,7.91
222_trifluoroethanol,7.06,6.49
23_dimethylbutane,8.72,8.62
23_dimethylpyridine,8.37,7.83
24_dimethylpentan_3_one,9.33,9.31
24_dimethylpyridine,9.05,8.05
25_dimethylpyridine,9.22,8.18
26_dimethylpyridine,9.62,8.11
3_chloropyridine,6.44,6.32
3_methylbutan_2_one,7.49,7.50
3_methylpyridine,7.90,6.96
3_methylpyridine,7.11,6.96
33_dimethylbutan_2_one,8.22,8.10
34_dimethylpyridine,7.72,7.78
35_dimethylpyridine,9.02,8.19
4_bromophenol,8.54,7.73
4_methylpentan_2_one,7.77,8.28
4_methylpyridine,7.78,6.87
acenaphthene,8.11,8.70
acetic_acid,5.33,6.58
anthracene,9.45,8.78
benzene,6.12,6.29
bromomethane,4.68,4.59
but_1_ene,6.73,6.90
buta_13_diene,6.46,6.17
butanoic_acid,7.27,8.95
butanone,6.61,6.36
chlorodifluoromethane,6.93,5.29
chloroethylene,5.15,5.02
chlorofluoromethane,3.82,4.02
chloromethane,4.38,4.36
cyclohepta_135_triene,6.18,7.20
cyclohexane,8.54,8.17
cyclohexene,7.42,7.73
cyclopentane,7.05,7.49
cyclopropane,5.72,5.93
di_n_propyl_sulfide,9.51,9.77
diethyl_disulfide,7.55,8.49
diethyl_sulfide,7.55,7.84
dimethyl_disulfide,5.86,6.79
dimethyl_sulfide,5.31,5.61
ethanamide,6.56,5.98
ethane,5.87,5.58
ethanethiol,5.16,6.00
ethanol,6.97,6.47
ethene,4.62,4.82
ethyl_acetate,7.36,7.24
ethylamine,7.81,6.27
ethylbenzene,8.22,8.22
fluorene,8.75,8.85
fluoromethane,3.51,3.89
heptan_2_one,9.96,9.47
heptan_4_one,10.88,9.59
hex_1_ene,8.68,8.79
hexan_2_one,8.50,8.55
iodomethane,4.70,4.22
isopropylbenzene,8.56,8.91
m_cresol,7.93,8.35
m_xylene,7.77,8.34
methane,4.52,4.43
methanethiol,3.98,4.80
methanol,5.09,5.40
methyl_acetate,6.43,5.77
morpholine,8.83,6.84
n_butane,7.66,7.45
n_butanethiol,7.08,7.75
n_butylacetamide,11.53,9.94
n_butylamine,9.27,8.20
n_butylbenzene,10.02,10.06
n_heptane,10.46,10.25
n_hexane,9.43,9.30
n_hexylamine,11.14,10.05
n_hexylbenzene,11.88,11.92
N_methylacetamide,6.92,6.59
N_methylmorpholine,9.49,7.05
N_methylpiperidine,11.24,8.11
n_octane,11.46,11.18
n_pentane,8.60,8.38
n_pentylamine,10.16,9.16
n_pentylbenzene,10.83,11.02
n_propanethiol,5.56,6.88
n_propylamine,8.33,7.31
n_propylbenzene,9.36,9.16
naphthalene,8.20,7.52
nitromethane,3.92,4.16
NN_dimethylformamide,6.70,5.55
nonan_2_one,11.81,11.32
nonan_5_one,12.80,11.44
o_cresol,8.51,8.14
o_xylene,7.25,8.05
oct_1_ene,10.14,10.66
p_cresol,8.00,8.24
p_xylene,7.83,8.34
pentan_2_one,7.52,7.63
pentan_3_one,7.81,7.67
phenanthrene,8.52,8.60
phenol,6.40,7.20
piperidine,9.92,7.94
prop_2_en_1_ol,7.37,6.63
propane,6.83,6.52
propanoic_acid,6.44,8.10
propanone,5.37,5.67
propene,5.88,5.92
propyne,3.75,5.36
pyrene,10.08,8.70
pyridine,6.62,5.75
pyrrolidine,9.11,7.16
tetrafluoromethane,6.12,5.13
tetrahydrofuran,7.23,6.51
tetrahydropyran,7.96,7.27
toluene,7.19,7.32
